0.00 3.40	>ENV:   	((DOOR_OPENS)) <<TALK
618.50 621.30	REBECCA: 	... Had he l=ifted up the paper in any way,
621.30 621.55	        	or,
621.55 622.37	RICKIE: 	... Yeah,
622.37 623.00	        	just like,
623.00 624.10	        	... ((CLAP)) you know,
624.10 625.65	        	I'm trying to see how a paper goes,
625.65 626.25	        	likes thi-,
626.25 626.95	REBECCA: 	Like this.
626.95 627.75	RICKIE: 	.. %Okay,
627.75 630.90	        	... %%%,
630.90 631.40	        	... like,
631.40 632.70	        	he has the paper like,
632.70 634.25	        	.. like thi=s,
634.25 634.80	        	.. just like,
634.80 635.12	        	.. you know,
635.12 635.70	        	moves it.
635.70 636.20	        	Like that.
636.20 637.05	        	... You know,
637.05 637.67	        	[like that.
637.05 637.82	REBECCA: 	[Oh=],
637.67 638.92	RICKIE: 	You] know= and you can see it.
638.92 639.32	REBECCA: 	Okay.
639.32 639.92	RICKIE: 	You know?
639.92 641.91	REBECCA: 	Was he looking at you at [all during that time].
641.12 641.63	RICKIE: 	                         [Ye=s.
641.63 644.20	        	The] <MRC who=le .. enti=re .. ti=me MRC>.
644.20 644.55	REBECCA: 	Okay.
644.55 645.05	RICKIE: 	I mean,
645.05 646.02	        	(H) not looking,
646.02 647.28	        	(H) at <<PAPER first he would go like this,
647.28 647.57	        	even,
647.57 648.57	        	.. with the paper.
648.57 650.07	        	... And look at me.
650.07 650.90	        	... You know,
650.90 651.90	        	trying to get my attention PAPER>>.
651.90 652.25	REBECCA: 	Yeah[=].
652.10 653.57	RICKIE: 	    [Like] he= wanted me to look at him.
653.57 654.13	        	And,
654.13 655.44	        	.. (H) then the whole time under here,
655.44 656.18	        	he'd just look.
656.18 657.14	        	... I mean,
657.14 658.88	        	.. %% he looked so hard,
658.88 659.96	        	that it was like burning,
659.96 661.13	        	@[@@ you] know what I mean?
660.29 660.54	REBECCA: 	 [Yeah].
661.13 661.43	RICKIE: 	It- --
661.43 661.73	        	[(H)]
661.43 662.43	REBECCA: 	[Tell] the jury that.
662.43 663.13	RICKIE: 	Okay[2= (Hx)2].
662.73 663.13	REBECCA: 	    [2That's2] --
663.13 664.13	        	.. I mean [3that's gr3]eat.
663.48 663.83	RICKIE: 	          [3He just3],
664.13 664.63	        	.. alright.
664.63 665.08	        	[%] --
664.63 665.08	REBECCA: 	[U=m],
665.08 666.41	        	Because that's what he does.
666.41 666.83	RICKIE: 	[Okay].
666.41 667.36	REBECCA: 	[And that's] his way,
667.36 669.60	        	(H)= of drawing your attention to [2him,
669.47 669.80	RICKIE: 	                                  [2Mhm2].
669.60 670.00	REBECCA: 	bec2]ause,
670.00 671.70	        	... if somebody's doing that to you,
671.70 672.75	        	.. there's no way you're gonna,
672.75 673.45	        	... you know,
673.45 674.50	        	.. just totally ignore them,
674.50 674.72	RICKIE: 	[Yeah].
674.50 677.56	REBECCA: 	[cause] you're always going to [2wanna2] keep (H) them in your peripheral vision,
675.49 675.77	RICKIE: 	                               [2(SNIFF)2]
677.56 678.08	REBECCA: 	at [3least3].
677.72 678.08	RICKIE: 	   [3Yeah3].
677.72 678.21	ARNOLD: 	   [3M3][4hm4].
678.08 679.60	REBECCA: 	        [4to ma4][5ke sure5] .. wh=ere they a[6re6].
678.21 678.70	RICKIE: 	                 [5Mhm5].
679.38 679.77	        	                                             [6Yeah6]=.
679.77 680.21	        	Cause I was,
680.21 680.50	        	you know,
680.50 681.79	        	I didn't know what he was gonna @do,
681.79 682.24	REBECCA: 	[Yeah],
681.79 682.54	RICKIE: 	[or any]thing,
682.54 683.29	        	so[2= (H)2],
682.76 683.29	REBECCA: 	  [2so=2],
683.29 683.59	        	um-,
683.59 685.14	        	part of our burden is to prove,
685.14 686.64	        	that he's deliberately doing th-,
686.64 689.83	        	that he has the specific intent to draw your atten[tion to] him.
689.18 689.58	RICKIE: 	                                                  [Okay].
689.83 692.38	REBECCA: 	.. (H) So let them know that [2he was do2]ing that.
691.30 691.70	RICKIE: 	                             [2Okay2].
692.38 692.88	        	.. Alright.
692.88 693.68	REBECCA: 	... U=m,
693.68 694.30	        	.. okay.
694.30 694.94	        	So then,
694.94 695.33	        	... and then,
695.33 696.56	        	.. he sort of pulled the paper aside,
696.56 698.05	        	and [he's still] staring [2at you2],
696.73 697.14	RICKIE: 	    [Yeah].
697.55 699.49	        	                         [2Unhunh sti2]ll sta=ring and,
699.49 700.57	        	... (H) just,
700.57 701.07	        	you know,
701.07 701.87	        	.. and the=n,
701.87 703.07	        	.. but when uh uh=,
703.07 704.37	        	... like you come to a stop,
704.37 705.92	        	see that's all through the tunnel.
705.92 706.46	        	... (H) You know,
706.49 707.21	        	that's a long,
707.21 707.89	        	.. like [about],
707.36 707.89	REBECCA: 	        [Mhm].
707.89 709.08	RICKIE: 	.. five minute ride or something?
709.08 709.93	        	A couple of minutes ride,
709.93 712.48	        	(H) and we got t=o like Embarcadero,
712.48 713.28	        	(H) <<PAPER he would just,
713.28 713.53	        	you know,
713.53 714.08	        	go like this,
714.08 714.54	        	you know PAPER>>,
714.54 715.63	        	before anyone got on,
715.63 716.13	        	and wait,
716.13 717.57	        	and then just do the same thing,
717.57 718.93	        	<X until X> I had to get off at my stop.
718.93 721.15	REBECCA: 	.. (TSK)(H) Tell .. the jury about that too,
721.15 724.28	        	be[cause] tha=t indicates that he knew what he was doing was wro[2=ng2],
721.26 721.56	RICKIE: 	  [Hm].
724.10 724.71	        	                                                                [2Oh2] okay.
724.71 727.46	REBECCA: 	and if there was a chance that any man .. might w[3alk by3],
727.06 727.46	RICKIE: 	                                                 [3y%- --
727.41 727.76	        	Mhm3].
727.76 728.26	REBECCA: 	(H) You know,
728.26 729.26	        	I had another case,
729.26 729.56	        	or,
729.56 732.11	        	.. I have a .. pr- report from another case where,
732.11 733.06	        	(H)= u=m,
733.06 734.06	        	... he wa- --
734.06 735.26	        	he was crouched down,
735.26 735.88	        	[and] doing it,
735.26 735.57	RICKIE: 	[Mhm].
735.88 737.37	REBECCA: 	and then when .. a man would walk by,
737.37 737.96	        	he'd sit up,
737.96 738.44	RICKIE: 	[Yeah].
737.96 738.90	REBECCA: 	[(H)] And,
738.90 739.20	        	.. you know,
739.20 739.70	        	do nothing,
739.70 741.20	        	and then once the man was through the doors,
741.20 742.60	        	then he'd go back [X X] doing it.
741.85 742.20	RICKIE: 	                  [Yea=h].
742.60 743.10	        	.. Okay.
743.10 743.60	REBECCA: 	.. So.
743.60 745.75	        	... (H)= U=m,
745.75 747.60	        	.. o[kay so then] you got off,
745.85 746.77	RICKIE: 	    [(H) (Hx)=]
747.60 748.60	REBECCA: 	... at your stop.
748.60 749.35	RICKIE: 	Yeah=.
749.35 750.15	REBECCA: 	(H) U=m,
750.15 751.80	        	and .. how were you feeling.
751.80 753.15	RICKIE: 	... We=ll (Hx),
753.15 754.65	        	<P<X it was like X>P> (Hx),
754.65 756.15	        	... <CRY s=- I don't know,
756.15 757.15	        	... sorry,
757.15 757.80	        	(H)=
757.80 761.10	ARNOLD: 	... <X You X> doing alright,
761.10 762.65	RICKIE: 	.. (SNIFF) just,
762.65 763.20	        	I don't know,
763.20 764.40	        	like disgusted,
764.40 764.90	        	... you know,
764.90 765.20	        	wh-,
765.20 768.15	        	.. why I really wanted to report it this time because,
768.15 769.75	        	(SOB) it was like summertime?
769.75 770.30	        	[(SOB)]
769.75 770.30	REBECCA: 	[Unhunh],
770.30 771.05	RICKIE: 	and the kids?
771.05 773.65	        	... You know the kids and [every]thing,
773.20 773.55	REBECCA: 	                          [Yeah].
773.65 774.95	RICKIE: 	that's what I was scared of,
774.95 775.85	        	because I know how,
775.85 776.50	        	uh I was,
776.50 776.83	        	you know,
776.83 777.53	        	a victim of,
777.53 777.78	        	... you know,
777.78 778.98	        	abuse like that or <X % X>,
778.98 780.23	        	(SOB) (SNIFF) I just,
780.23 780.68	        	you know,
780.68 781.43	        	I just,
781.43 782.93	        	... That's what I was think-,
782.93 784.58	        	the very first time I reported,
784.58 786.43	        	it was just like this .. dirty old ma=n,
786.43 787.23	        	just that tha[=t,
787.08 787.43	REBECCA: 	             [Yeah].
787.28 788.25	RICKIE: 	(SNIFF)]= And this time,
788.25 790.95	        	it was during the summer and there was lots= of ki=ds,
790.95 791.85	        	(SNIFF) and um,
791.85 793.10	        	.. I just felt like,
793.10 793.45	        	.. you know,
793.45 794.10	        	upset.
794.10 794.60	        	You know,
794.60 795.00	REBECCA: 	Yeah.
795.00 796.15	RICKIE: 	.. and I jus=t,
796.15 796.80	        	you know,
796.80 798.80	        	.. (SNIFF) .. I just felt upset.
798.80 799.40	REBECCA: 	.. Okay.
799.40 799.85	RICKIE: 	You know,
799.85 800.40	        	.. [n- CRY>] --
800.12 801.12	REBECCA: 	   [Tell] the jury that.
801.12 802.12	        	... Um,
802.32 805.57	        	it's .. it's [real]ly important that they understand,
803.47 803.77	RICKIE: 	             [(SNIFF)]
805.57 809.17	REBECCA: 	.. the feelings that go through you when sombody does something [like] that to you,
808.51 808.69	RICKIE: 	                                                                [%%]
809.17 809.37	REBECCA: 	cau[se,
809.32 809.67	RICKIE: 	   [(SNIFF)]
809.37 811.79	REBECCA: 	(H)] my one concern about this case .. i=s,
811.79 812.79	        	(H) u=m,
812.79 815.29	        	... that .. some people may have [the a]ttitude of,
814.44 814.69	RICKIE: 	                                 [(SNIFF)]
815.29 815.79	REBECCA: 	<Q well,
815.79 817.24	        	.. he never touched you,
817.24 817.60	RICKIE: 	Mhm.
817.60 819.59	REBECCA: 	.. he didn't .. make any verbal threats to you,
819.59 821.09	        	(H) it's no [big] deal Q>.
820.24 820.49	RICKIE: 	            [(SNIFF)]
821.09 822.09	REBECCA: 	... (H) A=nd,
822.09 822.99	        	especially,
822.99 825.09	        	.. I have some .. young single men,
825.09 826.24	        	.. on my jury panel.
826.24 826.74	RICKIE: 	[Mhm],
826.24 827.20	REBECCA: 	[(H)] A=nd,
827.20 828.20	        	... % I% --
828.20 832.22	        	.. my .. worry is that they don't .. relate to what a woman feels,
832.22 833.58	        	.. whe[n so]mething like that is happening,
832.30 832.55	RICKIE: 	      [Mhm].
833.58 835.30	REBECCA: 	because their experience would be totally different.
835.30 836.90	        	(H) if a man exposes [himself],
836.55 836.90	RICKIE: 	                     [(SNIFF)]
836.90 837.18	REBECCA: 	which,
837.18 838.40	        	.. a man would never do that.
838.40 838.80	RICKIE: 	[Mhm].
838.40 839.00	REBECCA: 	[Becau]se,
839.00 839.35	RICKIE: 	[2(SNIFF)2]
839.00 840.57	REBECCA: 	[2(H)2] number one they pick out,
840.57 842.42	        	.. I think .. more vulnerable peo[ple.
842.22 842.57	RICKIE: 	                                 [Mhm].
842.42 843.42	REBECCA: 	(H)] But if,
843.42 844.07	        	.. u=m,
844.07 846.37	        	... a ma=n .. were to be exposed to,
846.37 847.57	        	they would ... laugh,
847.57 848.07	        	.. or,
848.07 848.42	        	.. you know,
848.42 849.34	        	be disgusted,
849.34 849.62	RICKIE: 	[Mhm].
849.34 850.59	REBECCA: 	[(H)] or be mad,
850.59 852.66	        	(H) but they would[2n't ne2]cessari[3ly feel3],
851.44 851.64	RICKIE: 	                  [2(SNIFF)2]
852.04 852.94	JUNE:   	                                   [3((KNOCK_KNOCK3]_KNOCK))
852.94 854.44	REBECCA: 	.. scared .. [or threat]ened,
853.60 854.11	>ENV:   	             [((DOOR_OPENS))]
854.44 854.94	RICKIE: 	Unhunh,
854.94 856.19	JUNE:   	.. Hi[=],
856.14 856.49	REBECCA: 	     [H]i.
856.49 857.49	JUNE:   	Can I sit with you?
857.49 857.90	REBECCA: 	Sure.
857.90 860.04	        	...(H)= U=m,
860.04 863.29	        	so r- ... relate that information to [the jury].
862.69 863.29	>ENV:   	                                     [((DOOR_CLOSES))]
863.29 863.74	RICKIE: 	Okay.
863.74 864.14	REBECCA: 	Okay.
864.14 865.44	        	(H) ... U=m,
865.44 868.59	        	... (TSK) .. and then,
868.59 869.14	        	.. uh,
869.14 870.19	        	so then when you got off,
870.19 871.66	        	you called .. the poli[ce.
871.56 871.81	RICKIE: 	                      [No].
871.66 871.82	REBECCA: 	Right]?
871.82 873.39	RICKIE: 	I went upstairs to the BART,
873.39 874.22	        	and told them,
874.22 876.47	        	and I tried to tell them what train it was,
876.47 877.77	        	(H)= an=d I just,
877.77 879.72	        	(H) ... I was still kind of like shocked,
879.72 880.47	        	so I %I was like,
880.47 881.12	        	<Q well I have to go,
881.12 882.35	        	cause I have to make an appointment Q>,
882.35 883.40	        	but I di=d tell someone,
883.40 886.25	        	I said I'll be back to make a report or whatever I had to do,
886.25 888.70	        	(H)= and then there was a different person down there,
888.70 889.05	        	and,
889.05 890.19	        	.. when I called the BART police,
890.19 892.30	        	they said <Q oh no one's even said anything to us Q>,
892.30 893.20	        	you know [and uh],
892.85 893.20	REBECCA: 	         [Yeah].
893.20 894.20	RICKIE: 	(SNIFF) That was that,
894.20 895.10	        	and then I think,
895.10 895.45	        	uh=,
895.45 897.35	        	.. couple of days after,
897.35 898.75	        	.. one of the uh,
898.75 899.60	        	.. detectives,
899.60 901.60	        	(H) called me and then I made a report.
901.60 903.57	        	He wanted to see if I can ID him first,
903.57 904.07	        	and then,
904.07 905.97	        	.. we just made a report and he said,
905.97 907.72	        	.. he'll submit it and everything.
907.72 908.19	REBECCA: 	Okay.
908.19 909.64	        	.. a[nd y]ou ID'ed him immediately.
908.34 908.49	RICKIE: 	    [(SNIFF)]
909.64 910.00	        	Unhunh,
910.00 910.68	        	he just showed me.
910.68 911.18	        	He's all <Q okay,
911.18 911.68	        	come with me,
911.68 912.18	        	come with me Q>,
912.18 912.73	        	you [know],
912.33 912.73	REBECCA: 	    [Okay].
912.73 913.53	        	... (H) Alright.
913.53 914.23	        	I have %,
914.23 914.98	        	.. a- and this is,
914.98 916.48	        	i- if they make an issue out of it,
916.48 917.43	        	this is what you looked at.
917.43 917.64	        	[Right]?
917.43 917.98	RICKIE: 	[M]hm=,
917.98 919.11	REBECCA: 	Like a folder with different,
919.11 919.61	RICKIE: 	Yeah=,
919.61 919.81	        	yeah,
919.86 920.41	        	right there.
920.41 923.01	REBECCA: 	A=nd I have the one where you signed right under[neath it].
922.71 923.11	RICKIE: 	                                                [Unhunh]=,
923.11 923.61	        	.. [2yeah2],
923.21 923.61	REBECCA: 	   [2And2],
923.61 927.76	        	... we've got the statement where you immediately said I'm hundred percent sure [this is] the guy.
926.78 927.18	RICKIE: 	                                                                                [Mhm].
927.76 927.93	        	<P Yeah P>.
927.98 928.28	REBECCA: 	So.
928.28 929.07	        	... Okay.
929.07 930.82	ARNOLD: 	.. <X What is X> he a old man?
930.82 932.92	REBECCA: 	.. He's like .. [sixt]ies.
932.37 932.72	RICKIE: 	                [<X In his X>] --
932.92 933.42	        	.. Yeah.
933.42 933.59	REBECCA: 	Yeah[=].
933.50 933.90	ARNOLD: 	    [<X Go]=dX>.
933.90 935.80	RICKIE: 	.. And he'[2s like2] balding [3like3],
934.60 934.80	REBECCA: 	          [2Yeah2].
935.65 936.85	        	                             [3You3] can come in the courtroom.
936.85 937.55	ARNOLD: 	(TSK) [4Oh good4].
937.00 937.55	RICKIE: 	      [4Okay4].
937.55 937.90	REBECCA: 	Yeah.
937.90 938.30	ARNOLD: 	.. Um,
938.30 940.84	        	she has anxiety attacks when she ge[ts excited a]nd,
939.87 940.49	RICKIE: 	                                   [See that's why I'm s-] --
940.84 942.59	ARNOLD: 	sh=[2e gets real ne2]rvous and scared,
941.19 941.89	RICKIE: 	   [2That's why I am tra-2],
942.59 942.94	REBECCA: 	[3Unhunh3].
942.59 944.24	ARNOLD: 	[3she has3] bad anxiety attacks.
944.24 945.43	RICKIE: 	.. I can't [4breathe4].
944.85 945.43	ARNOLD: 	           [4She she'll ju-4] --
945.43 946.08	REBECCA: 	[5Oh really5]?
945.43 946.59	RICKIE: 	[5That's why I'm5] trying [6to6],
946.24 946.59	ARNOLD: 	                          [6Yeah sh-6],
946.59 947.69	        	That's why [7she's7] <X crying X>,
946.91 947.31	REBECCA: 	           [7Okay7].
947.69 948.09	ARNOLD: 	so,
948.09 948.84	REBECCA: 	.. Okay.
948.84 949.49	        	U=m,
949.49 950.59	        	.. % m- how= --
950.59 951.88	RICKIE: 	.. Do I have to look at anyone,
951.88 952.34	        	just you,
952.34 952.80	        	or[=],
952.63 952.80	REBECCA: 	  [No],
952.80 953.90	        	you can just look at [me],
953.60 954.25	RICKIE: 	                     [Okay]=,
954.25 955.05	REBECCA: 	... um,
955.05 956.20	        	.. when you go in,
956.20 958.95	        	let me explain to you what the courtroom's like so you know [what to] expect.
958.10 958.50	RICKIE: 	                                                            [Okay],
958.95 959.85	REBECCA: 	(H) ... U=m,
959.85 961.80	        	... you% .. you don't have to,
961.80 962.40	        	... you know,
962.40 963.45	        	and if you,
963.45 965.65	        	.. if you feel like you need to take a break,
965.65 965.95	RICKIE: 	Mhm,
965.95 967.65	REBECCA: 	.. the=n .. tell me .. immediately.
967.65 968.05	RICKIE: 	Okay.
968.05 968.75	REBECCA: 	... U=m,
968.75 969.80	        	.. or ask the judge,
969.80 971.30	        	you'll be seated right near the judge.
971.30 971.66	RICKIE: 	Okay.
971.66 972.65	REBECCA: 	(H) U=m,
972.65 974.15	        	.. I was saying to ~June,
974.15 974.60	        	.. that,
974.60 975.00	        	you know,
975.00 977.05	        	a lot of times people are intimidated by the courtroom,
977.05 978.35	        	and they think it's really formal,
978.35 979.86	        	a[nd it's] really not that formal,
978.51 978.80	RICKIE: 	 [Mhm].
979.86 980.15	        	Okay.
980.15 980.90	REBECCA: 	(H) u=m,
980.90 982.35	        	the jurors that are in there,
982.35 984.65	        	.. there'll be twelve people seated in the juror box,
984.65 985.15	RICKIE: 	.. [Mhm],
984.65 986.35	REBECCA: 	   [(H)] a=n[2d u=2]m,
985.60 985.90	RICKIE: 	            [2(SNIFF)2]
986.35 987.90	REBECCA: 	... you know they could be your family.
987.90 989.10	        	.. They could be your friends.
989.10 989.45	RICKIE: 	[Mhm],
989.10 989.92	REBECCA: 	[(H)] U=m,
989.92 990.52	        	they're all,
990.52 992.57	        	%% y- y- from all walks of li[fe,
992.37 992.84	RICKIE: 	                             [Mhm].
992.57 993.08	REBECCA: 	u=]m,
993.08 994.23	        	they're all different ages,
994.23 995.43	        	(H) a=nd,
995.43 995.90	        	.. u=m,
995.90 996.48	        	they,
996.48 997.84	        	... (H) .. you know,
997.84 998.68	        	for the most part,
998.68 1001.58	        	they were probably very nervous when they came in just for jury duty.
1001.58 1001.88	RICKIE: 	Yeah.
1001.88 1002.83	REBECCA: 	So[=],
1002.60 1002.83	RICKIE: 	  [(SNIFF)]
1002.83 1003.38	REBECCA: 	u=m,
1003.38 1003.83	RICKIE: 	(SNIFF)
1003.83 1005.23	REBECCA: 	.. they just want to hear your story,
1005.23 1006.50	        	and they're not .. judging you.
1006.50 1006.90	RICKIE: 	Okay.
1006.90 1007.65	REBECCA: 	.. U=m,
1007.65 1009.35	        	<<PAPER .. let me .. show you,
1009.35 1012.90	ARNOLD: 	... XX X X baby,
1012.90 1013.55	RICKIE: 	.. Hm?
1013.55 1015.45	        	... Hm-m.
1015.45 1016.20	        	.. [Mhm].
1015.85 1017.25	REBECCA: 	   [Will it] help to have him in there?
1017.25 1018.40	RICKIE: 	.. Yes= <@ unhunh @>,
1018.40 1021.60	REBECCA: 	<X Good X> ... PAPER>>.
1021.60 1021.95	RICKIE: 	(SNIFF)
1021.95 1023.80	ARNOLD: 	... She was going crazy <X all day X> here,
1023.80 1024.60	        	<Q I think that's him Q>.
1024.60 1026.10	        	Every time every time [she seen a XX,
1025.25 1026.67	RICKIE: 	                      [The whole time down here,
1026.10 1027.37	ARNOLD: 	I was like <Q<@ that ain't him @>Q>].
1026.67 1027.62	RICKIE: 	I was doi]ng that.
1027.62 1028.42	        	(H) <Q That's him,
1028.42 1028.82	        	that's him Q>,
1028.82 1029.22	        	like that,
1029.22 1029.65	        	he was like,
1029.65 1030.22	        	<Q o=h no=,
1030.22 1031.02	        	no= it's not him.
1031.02 1032.12	        	[Just come o=n Q>].
1031.02 1033.72	REBECCA: 	[@@@@]@@ (H)
1033.72 1035.97	RICKIE: 	... (SNIFF)
1035.97 1046.24	REBECCA: 	... <VOX (TSK) I don't know where I drew it out VOX>.
1046.24 1048.39	        	.. (H) (THR[OAT)]
1048.24 1048.54	RICKIE: 	           [(SNIFF)]=
1048.54 1050.99	        	... So is he in like jail or something?
1050.99 1052.34	        	Or he just shows up [for court]?
1051.81 1053.26	REBECCA: 	                    [(H) No] he's out right now,
1053.26 1053.96	RICKIE: 	.. Oh= o[2kay2].
1053.63 1054.28	REBECCA: 	        [2he will2] be,
1054.28 1055.13	RICKIE: 	.. Oh o[3kay3].
1054.80 1055.70	REBECCA: 	       [3at3] the end of this,
1055.70 1057.25	        	if the jury does the right thing.
1057.25 1057.80	RICKIE: 	Alright.
1057.80 1058.65	REBECCA: 	U=m,
1058.65 1063.42	        	...(TSK) we .. asked for ninety days county jail before the case,
1063.42 1065.37	        	... went .. to trial,
1065.37 1065.87	RICKIE: 	Mhm.
1065.87 1066.77	REBECCA: 	and normally,
1066.77 1067.27	        	.. u=m,
1067.27 1068.62	        	.. it'll be higher.
1068.62 1070.27	        	... if he's convicted.
1070.27 1071.07	RICKIE: 	.. Okay[=].
1070.67 1071.07	REBECCA: 	       [So],
1071.07 1074.32	        	plus he's got your case pending .. in .. [2Oakland2],
1073.72 1074.32	RICKIE: 	                                         [2Oakland2].
1074.32 1074.82	REBECCA: 	and if there's a,
1074.82 1077.57	        	(H) if we get a conviction just on one case here,
1077.57 1077.94	RICKIE: 	[Mhm],
1077.57 1078.60	REBECCA: 	[(H)=] then,
1078.60 1080.35	        	your case in Oakland will be a felony.
1080.35 1080.75	RICKIE: 	.. Oh,
1080.75 1081.00	        	okay.
1081.00 1082.10	REBECCA: 	... [So],
1081.30 1082.10	RICKIE: 	    [Alright].
1082.10 1084.10	REBECCA: 	... (H)= u=m,
1084.10 1084.50	        	okay.
1084.50 1085.00	        	Yu%- --
1085.00 1086.45	        	... W- what will happen is,
1086.45 1088.20	        	... you'll walk into the courtroom here.
1088.20 1088.75	RICKIE: 	.. [Mhm].
1088.40 1089.35	REBECCA: 	   [There are door]s right here.
1089.35 1089.62	RICKIE: 	[2Yeah2].
1089.35 1091.33	REBECCA: 	[2(H)2] There are seats right here,
1091.33 1091.88	        	.. u=m,
1091.88 1092.88	        	.. that are for the audience,
1092.88 1094.73	        	but normally there's nobody in the audience but,
1094.73 1095.11	RICKIE: 	[Okay].
1094.88 1095.85	REBECCA: 	[your] husband will be there,
1095.85 1096.95	        	(H)= u=m,
1096.95 1098.40	        	.. (TSK) a=nd=,
1098.40 1099.15	        	.. then,
1099.15 1101.35	        	... there are two tables right here.
1101.35 1102.77	        	.. I'll be seated at this table.
1102.77 1103.20	RICKIE: 	[Mhm].
1102.87 1103.77	REBECCA: 	[(H)] An=d,
1103.77 1106.57	        	.. the defendant .. and the defense attorney will be seated at this tab[le.
1106.32 1106.82	RICKIE: 	                                                                       [Mhm].
1106.57 1109.42	REBECCA: 	(H)]= The .. jury ... sits here.
1109.42 1110.42	        	.. Okay?
1110.42 1111.57	        	(H) all in a row,
1111.57 1112.52	        	(H) u[=m],
1112.19 1112.52	RICKIE: 	     [(SNIFF)]
1112.52 1112.87	REBECCA: 	then,
1112.87 1113.87	        	.. and you'll walk thr- --
1113.87 1115.97	        	When you walk in you'll walk through and I'll walk with you,
1115.97 1116.42	RICKIE: 	.. [Okay].
1116.07 1118.82	REBECCA: 	   [(H)] u=m .. to= .. the ch- the witness chair,
1118.82 1119.32	        	.. o[2kay,
1119.19 1119.54	RICKIE: 	    [2Okay2].
1119.32 1120.59	REBECCA: 	which2] faces out this way.
1120.59 1121.09	RICKIE: 	.. Alright.
1121.09 1123.09	REBECCA: 	(H) And the [judge] is seated right here.
1121.69 1122.04	RICKIE: 	            [(SNIFF)]
1123.09 1123.49	        	[2Alright2].
1123.09 1123.84	REBECCA: 	[2Right ab2]ove you.
1123.84 1126.34	        	(H) And then there's a woman who sits here who's the clerk,
1126.34 1128.64	        	and there's a woman who sits here the- who's the court reporter.
1128.64 1128.89	RICKIE: 	Okay.
1128.89 1131.49	REBECCA: 	(H) A=nd so when I ask you questions,
1131.49 1131.89	RICKIE: 	[(SNIFF)]
1131.49 1133.19	REBECCA: 	[when you're] talking you need to=,
1133.19 1133.89	        	.. uh,
1133.89 1135.54	        	.. always say yes or no,
1135.54 1137.49	        	.. as opposed to <Q unhunh Q> or <Q unh-[unh Q>],
1137.29 1137.79	RICKIE: 	                                        [O=h] ok[2ay2].
1137.64 1138.94	REBECCA: 	                                                [2(H)2] or nodding your head,
1138.94 1139.34	        	.. okay,
1139.34 1140.84	        	because she takes everything [down].
1140.46 1140.84	RICKIE: 	                             [Okay].
1140.84 1141.49	        	.. (SNIFF)
1141.49 1142.11	REBECCA: 	(TSK) U=m,
1142.11 1142.36	RICKIE: 	(SNIFF)
1142.36 1143.96	REBECCA: 	(H) if your nervous,
1143.96 1145.71	        	... please tell me.
1145.71 1145.96	RICKIE: 	Okay.
1145.96 1147.66	REBECCA: 	Or tell the judge and we can take a break.
1147.66 1147.91	RICKIE: 	Okay.
1147.91 1149.26	REBECCA: 	If you want to get a drink of water,
1149.26 1150.21	        	or something like that.
1150.21 1150.58	RICKIE: 	[Okay].
1150.21 1150.99	REBECCA: 	[O]kay?
1150.99 1152.14	        	...(H) U=m,
1152.14 1152.74	        	.. a=nd,
1152.74 1153.79	        	... take your time,
1153.79 1154.04	        	you know,
1154.04 1156.17	        	when you .. w=alk in just take a deep breath,
1156.17 1156.39	RICKIE: 	.. [Okay].
1156.17 1156.94	REBECCA: 	   [take] your time.
1156.94 1159.59	        	.. If I ask you a question that you don't understand,
1159.59 1160.14	        	tell me,
1160.14 1160.61	RICKIE: 	[Okay].
1160.14 1161.12	REBECCA: 	[(H)] U=m,
1161.12 1164.17	        	.. if= .. we- either of us ask you a question [2where2],
1163.87 1164.17	RICKIE: 	                                              [2(SNIFF)2]
1164.17 1164.92	REBECCA: 	(H) U=m,
1164.92 1166.12	        	it's something you don't remember?
1166.12 1167.57	        	.. it's a detail that you don't remem[ber,
1167.44 1167.74	RICKIE: 	                                     [Mhm].
1167.57 1168.54	REBECCA: 	it's fi]ne to say I don't,
1168.54 1169.64	        	I don't remember at [3this time3].
1169.19 1169.64	RICKIE: 	                    [3Okay3].
1169.64 1170.54	REBECCA: 	... Okay?
1170.54 1172.94	        	(H)= ... U=m [(Hx)],
1172.59 1173.24	RICKIE: 	             [Is there gonna b-] --
1173.24 1174.64	        	.. the other .. person=?
1174.64 1176.19	        	.. his lawyer= gonna ask some [questions]?
1175.84 1176.46	REBECCA: 	                              [(H)][2Yeah,
1176.19 1177.21	ARNOLD: 	                                   [2<P Cross examine P>2].
1176.46 1178.51	REBECCA: 	he'll be able to a2]sk you questions also.
1178.51 1179.51	        	(H) He's,
1179.51 1181.41	        	... he's a very polite guy.
1181.41 1181.81	RICKIE: 	Okay.
1181.81 1183.01	REBECCA: 	(H) He's a young .. attorney,
1183.01 1183.76	        	(H) u=m,
1183.76 1185.41	        	he's with the public defender's office,
1185.41 1186.21	        	... he's,
1186.21 1187.26	        	... (H) u=m,
1187.26 1189.41	        	.. w%- when we had the case the last time,
1189.41 1190.66	        	... it was a different attorney.
1190.66 1190.96	RICKIE: 	[Mhm].
1190.66 1193.28	REBECCA: 	[And th]at attorney ... terrorized my,
1193.28 1194.73	        	... my one victim that I put on,
1194.73 1195.88	        	(H) u=m,
1195.88 1197.68	        	.. he ... walked up to her,
1197.68 1199.63	        	and he was about this .. far away [from her],
1199.25 1199.63	RICKIE: 	                                  [Mhm].
