0.00 5.88	DORIS:  	... ~Sam has been,
775.03 776.23	        	and we've seen em go in,
776.23 778.25	        	... and all they're doing is just walking.
778.25 779.55	ANGELA: 	... Mhm.
779.55 782.49	        	... (H) (Hx) They might be good people,
782.49 785.75	        	we could (H) cultivate to .. hunt things for us.
785.75 787.31	SAM:    	... @[@@@@][2@ (H)2]
785.98 786.87	DORIS:  	     [@@@@@]
786.97 787.36	ANGELA: 	           [2@@2]
787.36 787.70	DORIS:  	[3Yeah.
787.53 788.90	SAM:    	[3<@ You mean look in the3] window @> [4@4].
787.80 788.46	DORIS:  	Now that's3] --
788.73 789.79	        	                                      [4that's an4] idea.
789.79 791.76	        	.. @[5@@@@@@5]
790.07 791.77	ANGELA: 	    [5@@@@@5]
791.77 794.60	DORIS:  	.. (H) Instead of having to parade all around [6looking for it,
793.98 795.07	ANGELA: 	                                              [6@@@@@6]
794.60 795.36	DORIS:  	.. they're6] around,
795.36 796.76	        	why not tell us where [7that is7].
796.26 796.73	ANGELA: 	                      [7Well yeah7],
796.73 797.97	        	well [8they can explain,
797.35 797.92	DORIS:  	     [8(H) (THROAT)8]
797.97 799.43	ANGELA: 	(H)8] and they can take no=tes,
799.32 799.81	DORIS:  	[9(THROAT)
799.48 800.47	ANGELA: 	[9as they go arou=nd9],
800.47 801.28	DORIS:  	.. % .. Of cour9]=se.
801.28 802.38	ANGELA: 	... @[@@]
802.05 803.04	DORIS:  	     [Make it] pay off.
803.04 803.53	        	@@
803.28 804.79	        	[Be glad to] shop for you.
803.33 804.02	ANGELA: 	[@@]
804.79 805.75	        	Charge a fee.
805.75 806.62	DORIS:  	.. [Right].
806.03 806.52	ANGELA: 	   [@@]
806.52 807.81	DORIS:  	@@[2@2]@@
806.86 807.25	ANGELA: 	  [2@2]
807.81 808.34	        	[3(SNIFF)3]
807.84 808.99	DORIS:  	[3(H)3] @@@
808.99 809.56	ANGELA: 	(H) %
809.56 809.85	DORIS:  	(H)
809.85 812.74	ANGELA: 	I still haven't found anybody that wants to,
812.74 815.54	        	... let me pay a little fee,
815.54 816.16	        	and then,
816.16 819.21	        	... call em every morning,
819.21 821.76	        	... that I'm .. up and around.
821.76 823.27	DORIS:  	... What what what w- --
823.27 824.30	        	.. Back up a minute.
824.30 824.87	        	Do what?
824.87 826.71	ANGELA: 	... [(H) I- --
825.89 827.85	DORIS:  	    [You'll pay .. to be called]?
826.71 828.38	        	I've been looking for] somebody,
828.38 830.55	        	who will sit by the phone in the morning,
830.55 832.24	        	... and a- --
832.24 834.48	        	... and clients will call in and say,
834.48 835.44	        	<Q good morning,
835.44 836.30	        	I'm up Q>.
836.30 837.20	        	... @@
837.20 838.91	        	.. (H) And so th- --
838.91 840.61	        	.. they're through for the day= then.
840.61 841.67	        	.. I'm up.
841.67 844.69	        	(H) If I don't call in by say= nine o'clock,
844.69 845.97	ANGELA: 	... [(H) Then] --
845.30 847.94	DORIS:  	    [(H) well] I'll be glad to do that for a fee.
847.94 848.70	ANGELA: 	... You will?
848.70 849.04	DORIS:  	@[@]
848.87 850.78	ANGELA: 	 [How much] is the [2fee= though=2].
849.82 852.53	DORIS:  	                   [2@@@@2][3@@@@@@@@3]
851.17 852.94	ANGELA: 	                           [3@@@@@@@@@3]
851.55 853.21	SAM:    	                           [3@@@ .. (H)3]
853.21 853.85	DORIS:  	(H) [4~Angela,
853.53 854.17	ANGELA: 	    [4(H) <X I don't m- X> (H)4] --
853.85 854.02	DORIS:  	it- --
854.02 854.59	        	does that4] b- --
854.59 855.77	        	does it really bother you?
855.77 859.05	ANGELA: 	... (H) I'd like to have somebody I could call in to,
859.05 859.86	        	.. every morning.
859.86 860.30	SAM:    	(Hx)
860.30 861.16	DORIS:  	You call in,
861.16 862.04	        	.. or I call in.
862.04 863.93	ANGELA: 	(H) I call in and let you- --
863.93 865.02	        	... whoever it is,
865.02 866.11	        	(H) know I'm up.
866.11 866.78	SAM:    	(H) [Well],
866.54 866.78	DORIS:  	    [Oh].
866.78 868.09	SAM:    	you can do that with us.
868.09 868.92	        	.. [We're up (H)] --
868.40 869.50	DORIS:  	   [You can do it with X-] --
869.50 870.85	        	%% you can do that with us,
870.85 872.99	        	... (H) sometimes we're up at four o'clock.
872.99 875.93	        	.. [@=@@@@@@@][2@@2]
872.99 875.93	ANGELA: 	   [@@@@@@@@@][2@@@2]
875.21 875.95	SAM:    	              [2(THROAT)2]
875.95 876.79	        	[3we're up early3].
875.95 877.64	ANGELA: 	[3(SNIFF) .. @3]@@@
877.64 879.34	        	.. (H) ... Well,
879.34 882.57	        	I would like to have it on a business basis [with somebody].
881.90 882.04	DORIS:  	                                            [Well,
882.04 882.74	        	well alright].
882.74 884.54	        	We'll put it on a business basis.
884.54 885.20	ANGELA: 	... You will?
885.20 885.72	DORIS:  	... Yeah.
885.72 888.71	        	... It's on [a bus]iness basis right now.
887.39 887.63	ANGELA: 	            [Well],
888.71 890.44	DORIS:  	[2We just2] formed a corporation @.
888.87 889.03	ANGELA: 	[2I'll 2] --
890.24 891.47	        	I'll draw up the papers.
891.47 892.13	DORIS:  	You do [that].
891.80 892.29	SAM:    	       [@@]@
892.29 893.08	ANGELA: 	@[2@@2]
892.48 893.04	DORIS:  	 [2You do that2].
893.04 894.07	        	We'll have them witnessed,
894.07 895.38	        	.. (H) a=nd,
895.38 896.07	ANGELA: 	@@@
896.07 898.03	DORIS:  	.. w- w- we're in business.
898.03 900.25	ANGELA: 	.. Should we have an attorney to advise us.
900.25 901.04	DORIS:  	... Oh,
901.04 902.18	        	I think I can do that.
902.18 902.97	ANGELA: 	@@[@@]
902.57 903.66	DORIS:  	  [@@]@@
903.66 904.23	ANGELA: 	.. (SNIFF)
904.23 904.80	        	.. @@
904.80 905.87	        	(H) Oh.
905.87 909.53	DORIS:  	... @@@@@@@
909.53 912.04	ANGELA: 	... (TSK) (H) What else were you cooking in there.
912.04 914.77	SAM:    	... Just the= bread pudding.
914.77 915.83	        	I made uh,
915.83 918.08	        	... bean salad for us for lunch.
918.08 919.07	ANGELA: 	... Oh you did.
919.07 920.09	SAM:    	.. You like beans.
920.09 921.03	ANGELA: 	Ah yes.
921.03 924.55	        	... Onions in it?
924.55 925.41	SAM:    	.. Oh yes,
925.41 926.50	        	[and pickles],
925.48 926.05	ANGELA: 	[(H)Le-] --
926.50 928.11	        	... [2And egg,
926.98 928.15	DORIS:  	    [2And eggs2]
927.05 928.14	ANGELA: 	    listen2].
928.14 931.59	        	... (TSK) (H) I've found out,
931.59 935.56	        	... that ... % I can enhance,
935.56 941.40	        	... % various dishes that I cook,
941.40 945.77	        	... (H) if I use my onion powder and garlic powder.
945.77 947.67	        	.. (H) Not .. the onion salt,
947.67 948.91	        	... but the --
948.91 950.46	        	.. the onion powder.
950.46 951.30	DORIS:  	<P Onion pow[der P>].
951.08 952.11	ANGELA: 	            [And you] shake it on.
952.11 952.68	SAM:    	.. Yeah,
952.68 954.01	ANGELA: 	.. (H) And I've --
954.01 955.75	        	... % Other day,
955.75 957.97	        	somebody was eating lunch at my house,
957.97 958.60	SAM:    	(Hx)
958.60 962.31	ANGELA: 	... (TSK) (H) and I put some onion powder ... in the mayonnaise,
962.31 965.22	        	.. (H) and put it on some .. boiled eggs.
965.22 966.11	        	... Opened em up,
966.11 968.01	        	(H) and I didn't stuff the eggs.
968.01 970.38	        	(H) I just put that (H) mayonnaise on top.
970.38 970.82	        	(H) And they said,
970.82 971.96	        	<Q oh= that's good.
971.96 973.27	        	How did you do that Q>.
973.27 974.04	DORIS:  	... Yeah.
974.04 974.33	SAM:    	Hunh.
974.33 975.39	ANGELA: 	... So remember.
975.39 977.88	SAM:    	... (TSK) I don't have any on[ion powder].
977.33 979.52	ANGELA: 	                             [And it's not] very expensive either.
979.52 981.25	SAM:    	(H) I have garlic powder.
981.25 983.30	ANGELA: 	(H) You can find it in Wallgre=ens,
983.30 985.41	        	in great big b=unches of stuff.
985.41 987.34	        	... <X There about.
987.34 988.03	        	... Yeah I X>,
988.03 990.11	DORIS:  	(SNIFF) ... Well,
990.11 990.33	        	.. (THROAT)
990.33 991.65	        	I got the word the other day,
991.65 993.03	        	that I gotta cut salt.
993.03 996.94	        	... (H) Oh you've been telling me that all along,
996.94 998.34	        	and I've been trying to do it,
998.34 1000.60	        	I b- thought I'd b- b- was doing pretty well.
1000.60 1001.46	        	But he%% --
1001.46 1004.29	        	.. (H) I don't think the man knows uh what he's about.
1004.29 1005.88	        	... [<@<X I mean you know X>@>] --
1004.88 1007.00	ANGELA: 	    [(H) A- aren't you going to] see him soon?
1007.00 1007.57	        	.. Again?
1007.57 1008.73	DORIS:  	... I just saw him.
1008.73 1009.74	SAM:    	She saw him Monday,
1009.74 1010.03	        	and,
1010.03 1011.63	        	.. and [then .. in] two [2months2].
1010.43 1010.92	DORIS:  	       [(H)]
1011.52 1012.66	        	                        [2I2] had a a,
1012.66 1013.77	        	... an X-ray,
1013.77 1014.21	        	what.
1014.21 1015.28	SAM:    	... [X-ray],
1014.74 1015.06	DORIS:  	    [Heart] --
1015.28 1016.35	SAM:    	an EKG,
1016.35 1017.42	        	and bloodwork.
1017.42 1018.78	ANGELA: 	... Really.
1018.78 1019.42	DORIS:  	(H)[=]
1019.15 1020.25	ANGELA: 	   [<X Well is] [2the do- X>2] --
1019.75 1021.50	SAM:    	                [2They haven't2] called you on the blood.
1021.50 1022.19	DORIS:  	No.
1022.19 1024.09	SAM:    	... We should get a,
1024.09 1025.13	        	.. %a paper today.
1025.13 1026.88	        	They were gonna send a ... copy.
1026.88 1027.50	DORIS:  	.. Uh=,
1027.50 1032.79	        	... (H) that --
1032.79 1033.98	        	... Excuse me,
1033.98 1035.12	        	I've got the hiccups.
1035.12 1035.69	        	... @@@
1035.69 1036.75	        	.. (H) (THROAT)
1036.75 1037.69	        	... He said uh,
1037.69 1040.35	        	take %% ... the uh,
1040.35 1041.82	SAM:    	... (H)
1041.82 1042.60	DORIS:  	what do you call it?
1042.60 1043.99	        	... The water pill.
1043.99 1045.66	        	.. (H) Diarrhetic.
1045.66 1048.99	        	... (H) Take .. one of the capsules,
1048.99 1050.52	        	and two of the white.
1050.52 1053.24	        	... Las- .. Lazex?
1053.24 1054.03	        	Or [something like] --
1053.51 1054.48	SAM:    	   [Lazix=]?
1054.48 1054.82	DORIS:  	Hunh?
1054.82 1055.94	SAM:    	.. Lazix[=]?
1055.50 1056.29	DORIS:  	        [Lazix].
1056.29 1058.93	        	.. (H) <X but I'll be X> taking the generic drug.
1058.93 1059.99	        	Of it (Hx).
1059.99 1061.02	        	(H) ... In the morning.
1061.02 1062.58	        	.. (H) Then in the afternoo=n,
1062.58 1065.12	        	take the capsule and one .. one Lazik.
1065.12 1065.66	ANGELA: 	Mhm.
1065.66 1068.12	DORIS:  	(H) (Hx) (H)
1068.12 1069.83	SAM:    	.. She did [that yesterday].
1068.90 1069.84	DORIS:  	           [I can't do it].
1069.83 1071.74	        	My stomach ... gives me trouble,
1071.74 1072.85	        	... I cramp,
1072.85 1073.42	        	... (H)
1073.42 1075.25	ANGELA: 	(H) [Well what] --
1074.33 1075.19	DORIS:  	    [X] (Hx) --
1075.25 1078.94	ANGELA: 	... (H) Are are you % eating Tums,
1078.94 1080.30	        	... for [calcium]?
1079.69 1080.06	DORIS:  	        [No].
1080.30 1081.53	        	.. [2I'm not eating Tums.
1080.41 1081.80	ANGELA: 	   [2@@@@@2]
1081.80 1082.54	DORIS:  	(H)2] I have- --
1082.54 1083.22	        	... Oh I did take,
1083.22 1084.00	        	.. I did s- --
1084.00 1085.88	        	... call out last night,
1085.88 1086.34	        	and say l-,
1086.34 1088.13	        	.. % make a note for potassium though.
1088.13 1092.36	ANGELA: 	(H) Do you have one of those little things that (H) has a compartment in it for [each day].
1091.94 1092.33	SAM:    	[No].
1092.36 1093.13	DORIS:  	... No.
1093.13 1094.87	        	... Heaven sakes.
1094.87 1095.74	        	.. @@@
1095.74 1097.61	        	... (H) I'm not a very good pill taker,
1097.61 1098.02	        	I'm re- --
1098.02 1099.25	        	.. I think I'm [resenting,
1098.63 1099.39	ANGELA: 	               [I'm not either,
1099.39 1100.03	        	but I have] --
1099.43 1101.26	DORIS:  	(H) I'm re]senting this [2medicine2].
1100.74 1101.23	SAM:    	                        [2(COUGH)2]
1101.26 1103.40	DORIS:  	And I think it's contributing to my problems.
1103.40 1104.26	        	I really do.
1104.26 1107.17	        	... (H) I think that .. the .. cardazam is,
1107.17 1109.59	        	.. I think that the .. d- diarrhetic is,
1109.59 1111.52	        	... (H) % ... (Hx)
1111.52 1112.66	SAM:    	(H) Well now your,
1112.66 1116.22	        	your= ankles were down this morning and your legs.
1116.22 1116.79	DORIS:  	Well yes.
1116.79 1117.21	        	They are.
1117.21 1117.73	        	They were.
1117.73 1120.11	        	... Now look at em.
1120.11 1123.43	SAM:    	... Now they're s- ... tight again.
1123.43 1125.14	ANGELA: 	... (H) Oh,
1125.14 1126.13	        	did I tell you,
1126.13 1126.94	DORIS:  	.. (H) No.
1126.94 1127.23	        	What.
1127.23 1128.77	ANGELA: 	... that [@@@@] --
1128.00 1128.49	DORIS:  	         [@@]
1128.77 1131.56	ANGELA: 	(H)= that the spring broke in my [2recli2]ner?
1130.86 1131.30	DORIS:  	                                 [2(H)2]
1131.56 1132.12	        	[3Oh yes.
1132.04 1132.70	SAM:    	[3(H) Oh yes.
1132.00 1132.94	DORIS:  	You've told us that.
1132.94 1134.37	        	And .. *Dorsen's3] [4fixed4] it?
1132.97 1134.08	SAM:    	(H) You got it fixed3] [4up4]?
1133.88 1134.27	ANGELA: 	                   [4And4] --
1134.27 1135.62	        	and two men came in,
1135.62 1137.62	        	and wrestled it all over the floor?
1137.62 1138.51	DORIS:  	(H)
1138.51 1140.54	ANGELA: 	... And they found out,
1140.54 1141.11	        	... that,
1141.11 1142.80	        	... it was easier,
1142.80 1144.05	        	.. they went back out the truck,
1144.05 1145.06	        	(H) and got a g- --
1145.06 1146.30	        	.. a whole assembly,
1146.30 1147.46	        	for one side.
1147.46 1148.40	        	The- the- the- --
1148.40 1149.27	DORIS:  	... Mhm.
1149.27 1149.73	ANGELA: 	.. You know.
1149.73 1150.47	        	Makes [the XX] --
1150.30 1151.89	SAM:    	      [Was this] on the seat or the [2back2].
1151.39 1152.72	ANGELA: 	                                    [2makes the2] feet go out.
1152.72 1155.89	        	... The= the the f- --
1155.89 1157.32	        	.. the footrest goes out.
1157.32 1158.05	        	You know there's a --
1158.05 1161.49	        	... % a .. a= mechanism [there].
1161.23 1161.53	SAM:    	                        [Yeah].
1161.53 1164.68	ANGELA: 	... So they put a whole new mechanism in on= side.
1164.68 1165.55	DORIS:  	(H) Hm.
1165.55 1167.32	ANGELA: 	(H) And I wasn't prepared for them to --
1167.32 1168.41	DORIS:  	(H)
1168.41 1170.21	ANGELA: 	... I was going to tip them,
1170.21 1172.24	        	... but I wasn't prepared.
1172.24 1174.81	        	... To b- .. buy the chair.
1174.81 1177.04	        	@@@ [<@ Over again @>.
1175.67 1176.76	DORIS:  	    [@@@@@@@@
1177.04 1178.39	ANGELA: 	@ (H) S- (H) so (H) (Hx) (H)] --
1177.01 1178.10	DORIS:  	@No=.
1178.39 1178.69	        	(H)]
1178.69 1180.17	ANGELA: 	I gave em ten dollars,
1180.17 1181.50	        	but that's all I had.
1181.50 1182.63	DORIS:  	... Well that was enough.
1182.63 1184.06	ANGELA: 	I guess that was enough.
1184.06 1184.80	DORIS:  	... I [XX>] --
1184.43 1186.28	ANGELA: 	      [They're on] salary with the c- --
1186.28 1187.71	        	... with the company any[2way2].
1187.39 1187.68	DORIS:  	                        [2Yeah2].
1187.71 1188.20	        	Sure.
1188.20 1189.13	        	... (H)
1189.13 1191.33	ANGELA: 	(TSK) (H) But they were so jovial,
1191.33 1191.65	        	a=nd &
1191.65 1192.19	DORIS:  	Yeah.
1192.19 1195.55	SAM:    	Was [that spring] from your seat or the back of th- your chair.
1192.49 1192.97	ANGELA: 	& [nice].
1195.55 1196.57	        	... Now,
1196.57 1197.23	        	it was a,
1197.23 1199.01	        	... a tight little spring,
1199.01 1200.45	        	(H) .. [that um],
1199.73 1200.72	DORIS:  	       [(SIGH)]
1200.72 1202.36	ANGELA: 	.. governed the mechanism.
1202.36 1205.01	        	... And held the chair together,
1205.01 1206.91	        	... when you .. put out &
1206.91 1207.18	SAM:    	... Oh,
1207.18 1208.15	        	the [footrest].
1207.25 1208.41	ANGELA: 	& [the foot]rest.
1208.41 1210.32	        	... (Hx) And I told --
1210.32 1212.11	        	... Well I think I told you this.
1212.11 1213.62	        	(H) I phoned her and said,
1213.62 1217.56	        	... I don't know whether I can sit in the chair at a=ll or not.
1217.56 1219.44	        	... And .. I said,
1219.44 1220.05	        	.. and besides,
1220.05 1220.98	        	when I go by it,
1220.98 1222.22	        	it snarls at me.
1222.22 1225.25	DORIS:  	... [@@@@@@@@@@ (H)]
1222.83 1223.45	ANGELA: 	    [(H) And,
1223.75 1224.36	        	@and @she --
1224.36 1225.35	        	(H) sh- she said],
1225.35 1227.19	        	(H) well it's alright to sit on it,
1227.19 1229.44	        	but don't put the ... footrest out.
1229.44 1230.70	        	@ .. @@
000000000 000000000 $ TEXT ENDS
000000000 000000000 SAM: 	... (H) How are we on the --
000000000 000000000 	(H)
000000000 000000000 ANGELA: 	... @@@
000000000 000000000 SAM: 	... I can't tell when it's do=ne.
000000000 000000000 DORIS: 	Well,
000000000 000000000 	it'll stop.
000000000 000000000 	(H)
000000000 000000000 SAM: 	... It looks like it's do=ne.
000000000 000000000 DORIS: 	... Oh honey no.
000000000 000000000 	... It [goes for] forty-five minutes.
000000000 000000000 SAM: 	       [Well the-] --
000000000 000000000 	Yeah,
000000000 000000000 	but it's all over he=re.
000000000 000000000 	.. It's not the --
000000000 000000000 	See,
000000000 000000000 	(H) when that's empty,
000000000 000000000 	that's done.
000000000 000000000 	.. (H)
000000000 000000000 DORIS: 	... Well,
000000000 000000000 	.. maybe we've talked for forty-five minutes.
000000000 000000000 SAM: 	... I don't know whether it's to go off,
000000000 000000000 	or not.
000000000 000000000 ANGELA: 	... Does it automatically go off at the end [of] --
000000000 000000000 DORIS: 	                                            [I thought] it did.
000000000 000000000 ANGELA: 	... Yeah,
000000000 000000000 	.. well [that's what] --
000000000 000000000 SAM: 	        [Well,
000000000 000000000 	may]be it does.
000000000 000000000 ANGELA: 	[2that's what it is2].
000000000 000000000 SAM: 	[2(H) Are2] you ready for a little lunch?
000000000 000000000 ANGELA: 	... (H)[3= O=h3].
000000000 000000000 DORIS: 	       [3Why sure-3] --
000000000 000000000 ANGELA: 	... Are you rea[4dy4]?
000000000 000000000 SAM: 	               [4Y-4] --
000000000 000000000 	yes,
000000000 000000000 	I'm hungry.
000000000 000000000 ANGELA: 	Okay.
000000000 000000000 SAM: 	(H)
000000000 000000000 ANGELA: 	... Whatever.
