0.00 2.98	MONTOYA: 	What else.
1016.17 1018.32	        	... I don't care if you're Asian-American,
1018.32 1019.66	        	... and I don't care if you're Latino,
1019.66 1020.63	        	or whatever.
1020.63 1022.19	        	... Most Americans,
1022.19 1023.63	        	... do not vote,
1023.63 1025.17	        	... in great numbers.
1025.17 1026.36	        	... So,
1026.36 1027.59	        	.. it's a double whammy.
1027.59 1029.50	        	... Introducing the subject matter here.
1029.50 1031.06	        	... Americans,
1031.06 1032.89	        	in comparison to Great Britain,
1032.89 1034.42	        	.. in comparison to France,
1034.42 1036.15	        	(H) in comparison to Germany,
1036.15 1037.78	        	.. in comparison to Italy,
1037.78 1038.92	        	... we don't vote,
1038.92 1040.42	        	.. in the numbers that they do.
1040.42 1041.97	        	... Alright?
1041.97 1042.77	        	.. I mean,
1042.77 1043.71	        	if we had more time,
1043.71 1045.71	        	I could give you statistic after statistic,
1045.71 1047.12	        	(H) Italy for example,
1047.12 1049.60	        	ha=s ... a voter .. turnout,
1049.60 1052.13	        	... of ninety percent.
1052.13 1054.82	        	... Of those that are eligible to vote.
1054.82 1057.21	        	... we're lucky if we get fifty percent.
1057.21 1060.32	        	... Are we .. less democratic?
1060.32 1061.75	        	... Are they more democratic?
1061.75 1063.95	        	... Why is it that Italy has,
1063.95 1065.19	        	(H) a much larger,
1065.19 1067.88	        	.. a higher voter .. level of participation.
1067.88 1070.00	        	... Or Germany.
1070.00 1071.54	        	... Or even Canada.
1071.54 1072.50	        	.. Seventy percent.
1072.50 1074.34	        	... The fact is,
1074.34 1077.43	        	that democracy in this country ... is dying.
1077.43 1080.76	        	... I want you to put that down.
1080.76 1082.27	        	... Cause it's gonna be important.
1082.27 1083.31	        	... At least for my analysis.
1083.31 1084.11	        	I don't want you to agree,
1084.11 1085.10	        	or disagree at this point,
1085.10 1086.01	        	just write it down,
1086.01 1086.96	        	.. (H) you have plenty of time.
1086.96 1088.21	        	.. One week to think about it.
1088.21 1092.01	        	... American democracy is dying.
1092.01 1097.78	        	... I want you to put that ... who=le .. phrase .. in black and white.
1097.78 1100.69	        	(H) American democracy is dying,
1100.69 1104.12	        	... and I want you to try to think .. of why.
1104.12 1107.75	        	.. As we get into the discussion .. of Chicano ... participation.
1107.75 1110.29	        	... And we'll get back to that statement .. next week.
1110.29 1112.16	        	... So,
1112.16 1113.12	        	... for us,
1113.12 1114.73	        	as Chicanos it's a double jeopardy.
1114.73 1116.73	        	... That's another point I wanna underscore.
1116.73 1121.48	        	... Because if the .. larger general population doesn't vote in great numbers,
1121.48 1124.98	        	(H) when you're at the bottom of a political socioeconomic totem pole,
1124.98 1126.44	        	and you're at the bottom,
1126.44 1128.82	        	... you're at the very bottom,
1128.82 1131.79	        	... with all the problems of poverty,
1131.79 1133.31	        	and all the social problems that we're --
1133.31 1134.69	        	(H) we've been talking about,
1134.69 1137.72	        	... it's understandable why,
1137.72 1138.39	        	... perhaps,
1138.39 1140.93	        	... Chicanos do not vote,
1140.93 1142.59	        	.. or participate in great numbers.
1142.59 1143.75	        	... (H) Now,
1143.75 1144.60	        	.. the literature,
1144.60 1147.69	        	.. in political science,
1147.69 1149.25	        	... dealing with,
1149.25 1151.18	        	... factors influence- --
1151.18 1152.48	        	... influencing voting,
1152.48 1153.44	        	... are many.
1153.44 1156.02	        	... Are many.
1156.02 1160.28	        	... Civic Culture,
1160.28 1161.44	        	... Almond and Verba,
1161.44 1163.25	        	... nineteen-seventy-two or so,
1163.25 1165.32	        	... is one book that you can look at,
1165.32 1166.64	        	... u=m,
1166.64 1169.89	        	... there's a book by .. Raymond Wolfinger,
1169.89 1172.28	        	... Steven ... Ronsteen- .. Ronstone I'm sorry,
1172.28 1173.34	        	(H) Who Votes,
1173.34 1174.43	        	... that's another book,
1174.43 1175.77	        	... <X Okay X>,
1175.77 1177.07	        	... the literature goes on and on.
1177.07 1178.47	        	... But all I want to do,
1178.47 1180.84	        	in terms of just giving you .. some idea.
1180.84 1183.33	        	... of what are the factors that influence,
1183.33 1186.20	        	peoples' participation in the political process of this country.
1186.20 1187.91	        	(H) And there are essentially five.
1187.91 1189.51	        	.. You can .. probably develop more,
1189.51 1189.75	        	but,
1189.75 1191.18	        	.. these are general categories.
1191.18 1194.57	        	... Most of the literature in political science,
1194.57 1196.75	        	... and I think Mister Verba would agree with me on this,
1196.75 1197.47	        	(H) that,
1197.47 1201.60	        	... people tend to vote because they have a sense of duty.
1201.60 1202.38	        	... What does that mean.
1202.38 1203.56	        	.. A sense of duty.
1203.56 1207.31	        	... They regard participation as important.
1207.31 1209.99	        	... Now,
1209.99 1211.92	        	... why would you say,
1211.92 1214.78	        	.. that this .. is a factor that influences voting.
1214.78 1217.47	        	... Now this is a very somewhat altruistic,
1217.47 1218.58	        	... uh= value.
1218.58 1219.02	        	right?
1219.02 1220.73	        	... A sense of .. duty?
1220.73 1223.89	        	... Why.
1223.89 1226.12	        	... Why would you say,
1226.12 1227.79	        	... that people in this country have a --
1227.89 1229.01	        	.. Some [people that vote],
1228.22 1229.01	X:      	        [(COUGH) (COUGH)]
1229.01 1231.65	MONTOYA: 	.. vote because they have a s=ense .. of .. duty.
1231.65 1234.01	        	... Why.
1234.01 1237.24	        	... Right here.
1237.24 1240.36	BEV:    	... I don't know,
1240.36 1242.47	        	.. probably it stems m=ostly from=,
1242.47 1243.88	        	... your education,
1243.88 1244.60	        	your childhood,
1244.60 1245.31	        	when your told,
1245.31 1246.92	        	% ... you're an American citizen,
1246.92 1248.35	        	and it's your civic duty,
1248.35 1249.21	        	.. you know,
1249.21 1250.64	        	(H) towards other people a=nd,
1250.64 1251.09	        	you know,
1251.09 1252.25	        	getting the government going,
1252.25 1253.01	        	.. to vote,
1253.01 1253.65	        	a=nd,
1253.65 1255.18	        	put you=r two cents in.
1255.18 1256.52	        	... Because without you=,
1256.52 1258.12	        	.. then y- we won't have government.
1258.12 1259.61	        	... Same sense of jury duty,
1259.61 1260.02	        	too.
1260.02 1260.86	        	.. [<X Jury] --
1260.24 1260.86	MONTOYA: 	   [Okay].
1260.86 1261.52	        	... Good point.
1261.52 1262.19	BEV:    	duty X>.
1261.94 1263.68	MONTOYA: 	.. As we go through some of these,
1263.68 1264.59	        	... these five,
1264.59 1267.13	        	... I want you to think of %the agents of socialization.
1267.13 1268.37	        	... Because then I want you to think,
1268.37 1270.16	        	when we get into the discussion on Chicanos,
1270.16 1272.27	        	... how do those agents affect .. us as Chicanos.
1272.27 1272.66	        	Alright,
1272.66 1274.18	        	... number one,
1274.18 1275.04	        	sense of duty,
1275.04 1278.18	        	... Who is responsible for inculcating ... that sense of duty.
1278.18 1280.63	        	... One,
1280.63 1281.49	        	... the family.
1281.49 1282.36	        	... Alright?
1282.36 1282.83	        	.. Remember.
1282.83 1284.53	        	.. The family is your primary agent.
1284.53 1285.20	        	.. Two,
1285.20 1286.84	        	... the educational institutions.
1286.84 1288.69	        	... I mean,
1288.69 1290.40	        	from the time that you start .. kindergarten,
1290.40 1292.84	        	to the time that you .. graduate from the university,
1292.84 1293.80	        	(H) it's constant,
1293.80 1294.46	        	.. not constant,
1294.46 1297.70	        	.. but somewhat of a consistent .. bombardment .. of values,
1297.70 1298.57	        	.. attitudes,
1298.57 1299.34	        	et cetera,
1299.34 1301.83	        	... reinforcing the nature of the political system,
1301.83 1306.11	        	... and the virtues .. of ... participating in the political process.
1306.11 1307.31	        	... (H) So in essence,
1307.31 1307.93	        	what I'm saying is,
1307.93 1310.23	        	you acquire this through the socialization process.
1310.23 1311.37	        	that we've discussed already.
1311.37 1311.94	        	... Yes?
1311.94 1316.54	RUBEN:  	... I think that it's more ... eye-opening,
1316.54 1317.40	        	.. to see,
1317.40 1318.61	        	.. that,
1318.61 1319.85	        	.. this doesn't exist,
1319.85 1320.93	        	... more than it does.
1320.93 1322.63	        	.. And that's why people don't vote.
1322.63 1323.67	        	(H) It seems that,
1323.67 1325.17	        	.. I mean you talk to people,
1325.17 1326.71	        	(H) they have an attitude,
1326.71 1328.26	        	.. I can't make a difference.
1328.26 1329.47	        	... That's why I don't vote.
1329.47 1332.19	        	.. It's not ... my .. responsibility.
1332.19 1333.42	        	That's why I don't vote.
1333.42 1334.82	        	... There's not a sense of duty.
1334.82 1335.68	        	.. Even though,
1335.68 1336.52	        	... like you said,
1336.52 1337.66	        	... from the beginning,
1337.66 1340.23	        	... supposedly we're getting it .. all through school.
1340.23 1341.83	MONTOYA: 	Why do you suppose that has changed.
1341.83 1343.13	        	... And this is a .. much,
1343.13 1344.31	        	... of a recent phenomena.
1344.31 1344.97	        	.. much more.
1344.97 1346.06	        	(H) Because you've had,
1346.06 1348.27	        	(H) .. declining voter participation levels=,
1348.27 1350.20	        	since= the nineteen-seventies.
1350.20 1351.55	        	.. And I'm giving you the answer.
1351.55 1354.02	        	... Wa- what what what has been the problem.
1354.02 1356.31	        	... Contributing to what you .. just said.
1356.31 1358.29	RAMON:  	... Well,
1358.29 1358.75	        	I agree- --
1358.75 1359.88	        	I agree with what he was saying but,
1359.88 1361.74	        	.. I think m- maybe one of the reasons could be,
1361.74 1362.87	        	.. they're not being represented,
1362.87 1364.18	        	they don't think they're being represented,
1364.18 1364.64	        	.. they don't,
1364.64 1365.31	        	... um,
1365.31 1367.98	        	... see any like .. direct results for them,
1367.98 1368.64	        	... you know,
1368.64 1369.33	        	coming out of like,
1369.33 1369.62	MONTOYA: 	Mhm?
1369.62 1370.49	RAMON:  	the representation,
1370.49 1371.15	        	.. the government,
1371.15 1372.48	        	.. and who's in control.
1372.48 1373.58	MONTOYA: 	... [Okay]?
1373.43 1373.82	RAMON:  	    [I think] I --
1373.82 1374.08	        	[2I n- --
1373.85 1374.27	MONTOYA: 	[2<X That's2]--
1374.08 1374.40	RAMON:  	You know2],
1374.40 1375.01	        	there are a [3lot of people3],
1374.60 1374.87	MONTOYA: 	            [3Sure X>3],
1376.01 1376.84	        	... [4alright4].
1376.17 1376.75	RAMON:  	    [4<X<% I mean %>X>4] --
1376.84 1377.10	MONTOYA: 	... That's --
1377.10 1377.81	        	.. [Would you agree with that]?
1377.25 1377.89	RAMON:  	   [A lot of people],
1377.89 1378.36	MARIA:  	... Mhm.
1378.36 1379.54	RAMON:  	.. they vote their [pocketbook].
1378.85 1379.32	MARIA:  	                   [Sure].
1379.54 1379.80	RAMON:  	.. They --
1379.80 1380.16	        	.. They're --
1379.98 1381.19	        	[<P They vote their pocketbook P>].
1380.38 1381.69	MONTOYA: 	[% They vote definitely] their pocketbook.
1381.69 1382.08	        	Alright?
1382.08 1382.54	        	.. That's true.
1382.54 1383.54	        	... What would you add to [f-].
1383.33 1384.07	RAMON:  	                          [(Hx)]
1384.07 1384.94	MARIA:  	... Well,
1384.94 1386.45	        	... you say we're not represented,
1386.45 1386.77	        	it's like,
1386.77 1388.08	        	we say there's not much choice,
1388.08 1388.65	        	.. between,
1388.65 1390.16	        	... say like .. the last,
1390.16 1390.93	        	... um,
1390.93 1392.28	        	... you know,
1392.28 1394.15	        	... <X you X> voted for ... Clinton or,
1394.15 1394.81	        	... you know,
1394.81 1395.57	        	... you know,
1395.57 1396.30	        	... whatever his name was.
1396.30 1396.72	X:      	.. @@
1396.72 1397.01	X:      	@
1397.01 1397.30	MARIA:  	@@
1397.30 1397.74	MONTOYA: 	Bush,
1397.72 1398.38	MARIA:  	[@@]
1397.59 1398.38	GILBERT: 	[XX]
1398.38 1398.92	MARIA:  	[2Yeah2].
1398.52 1399.21	MONTOYA: 	[2Bush2] in a [3bush3].
1398.86 1399.20	X:      	              [3@@3]
1399.20 1399.50	GILBERT: 	X,
1399.50 1399.90	MARIA:  	.. [No,
1399.65 1400.29	GILBERT: 	   [I don't think] --
1399.90 1400.40	MARIA:  	the other guy].
1400.40 1402.14	GILBERT: 	.. I don't think [2there's as2] much [3trust3],
1401.17 1401.56	MONTOYA: 	                 [2Oh2],
1401.66 1402.25	        	                                     [3Perot3].
1402.25 1402.98	GILBERT: 	.. XX,
1402.98 1403.57	MONTOYA: 	Trust.
1403.57 1404.39	GILBERT: 	Trust in the system.
1404.39 1404.76	MONTOYA: 	.. [Why].
1404.52 1405.46	GILBERT: 	   [A lot] more corruption,
1405.46 1406.49	        	[2<X I mean X>2] you had Nixon,
1405.47 1405.76	MONTOYA: 	[2Why2].
1406.49 1407.75	GILBERT: 	(H) to [3Watergate3],
1407.12 1408.12	MONTOYA: 	       [3What did you have in the3] seventies.
1408.12 1409.10	        	.. Now l- let's talk about that.
1409.10 1409.44	        	What what did --
1409.44 1409.72	        	What did --
1409.72 1410.36	        	[What did] we have,
1409.69 1410.03	GILBERT: 	[Okay].
1410.36 1410.54	MONTOYA: 	.. <X You X> --
1410.54 1410.83	GILBERT: 	Well,
1410.83 1411.47	        	.. in the beginning,
1411.47 1413.48	        	.. well even in the late sixties you had Vietnam,
1413.48 1414.92	        	... [you had uh=],
1413.90 1414.49	MONTOYA: 	    [Good.
1414.49 1414.97	        	.. Excellent].
1414.97 1416.00	        	(H) What did Vietnam do.
1416.00 1419.63	GILBERT: 	... % ... Turned uh,
1419.63 1420.82	        	... the youth especially,
1420.82 1422.55	        	against .. the government policies,
1422.55 1423.64	        	.. the= educated youth.
1423.64 1424.50	        	... More so,
1424.50 1425.44	        	(H) and those were,
1425.44 1426.20	        	.. I think,
1426.20 1428.24	        	... the people that were gonna be voting,
1428.24 1429.52	        	... as they went on.
1429.52 1430.63	        	They lost faith in the system.
1430.63 1432.18	        	[They lost] faith in thei=r leaders.
1430.65 1431.14	MONTOYA: 	[Alright].
1432.18 1432.80	        	.. Alright.
1432.80 1434.34	        	... On that score.
1434.34 1436.23	        	... would you say that most of you,
1436.23 1437.37	        	without getting personal here,
1437.37 1438.34	        	are products=,
1438.34 1438.61	        	.. uh=,
1438.61 1439.60	        	in terms of birth,
1439.60 1440.19	        	... of the sixties?
1440.19 1441.66	        	... All of you were born in the sixties?
1441.66 1442.52	        	... Early seventies?
1442.52 1443.68	        	... Right?
1443.68 1445.85	        	... So that means that most of your parents,
1445.85 1446.52	X:      	... (THROAT)
1446.52 1448.60	MONTOYA: 	were very much a part .. of the era of the sixties.
1448.60 1448.89	        	right?
1448.89 1450.07	        	... Alright.
1450.07 1450.93	        	Would you say,
1450.93 1451.76	        	... go back to you,
1451.76 1454.89	        	... that your parents were very much influenced by the Vietnam war?
1454.89 1455.80	        	... One way or the other?
1455.80 1458.18	GILBERT: 	... Yeah.
1458.18 1458.99	MONTOYA: 	... Which --
1458.99 1459.45	        	.. Which way.
1459.45 1460.26	        	.. [Which direction].
1459.55 1459.94	GILBERT: 	   [Um=],
1460.26 1461.42	        	... total apathy.
1461.42 1462.58	MONTOYA: 	... Total apa[thy].
1462.15 1462.59	GILBERT: 	             [Yeah].
1462.59 1462.96	MONTOYA: 	.. Why.
1462.96 1463.53	GILBERT: 	.. Um,
1463.53 1464.47	        	.. well my mom.
1464.47 1465.18	        	.. Total apathy.
1465.18 1465.52	        	Uh,
1465.52 1468.33	        	... She just,
1468.33 1468.82	        	.. I th- --
1468.82 1469.08	        	.. I don't know.
1469.08 1470.27	        	.. I think she just got burned out.
1470.27 1471.38	        	She got sick and tired of,
1471.38 1472.09	        	... you know,
1472.09 1472.73	        	turning on the news,
1472.73 1474.24	        	and seeing another ... corrupt man,
1474.24 1474.91	        	or another,
1474.91 1475.37	        	.. you know.
1475.37 1476.80	        	.. another scandal breaking out.
1476.80 1479.31	        	... She knew friends that were dying in Viet- --
1479.31 1479.57	        	.. you know.
1479.57 1481.42	        	She had friends that ... were drafted,
1481.42 1481.98	        	XX were sent,
1481.98 1482.54	        	.. were dying,
1482.54 1483.20	        	and she didn't,
1483.20 1483.95	        	... you know,
1483.95 1485.46	        	she didn't believe in the system and,
1485.46 1487.37	        	... she just didn't care anymore.
1487.37 1490.23	        	... [I think] it was just a lot of negatives had built up,
1488.70 1489.14	MONTOYA: 	    [Okay].
1490.23 1492.03	GILBERT: 	and she just ... let it go.
1492.03 1492.65	MONTOYA: 	... Okay,
1492.65 1493.36	        	how about you.
1493.36 1494.39	        	... How about your parents.
1494.39 1495.51	CAROLYN: 	... U=m,
1495.51 1497.42	        	... well my dad was drafted.
1497.42 1498.85	MONTOYA: 	.. He was in Vietnam?
1498.85 1499.92	CAROLYN: 	... U=m,
1499.92 1501.03	        	... long story,
1501.03 1502.13	        	he didn't make it to Vietnam but,
1502.13 1502.42	        	u=m,
1502.42 1503.15	        	@ [(H)]
1503.15 1504.66	MONTOYA: 	  [But he was ] in the military [2during that time.
1503.90 1505.40	CAROLYN: 	                                [2He was in the military at the2] time,
1504.59 1504.96	MONTOYA: 	.. Alright2].
1505.40 1505.79	CAROLYN: 	.. yeah.
1505.79 1506.08	MONTOYA: 	Okay,
1506.08 1507.84	CAROLYN: 	.. My mom claims she was too young to know,
1507.84 1508.28	        	but,
1508.28 1509.97	        	... @@@ (H) <@ I don't know @>.
1509.97 1510.56	MONTOYA: 	Okay,
1510.56 1512.98	CAROLYN: 	... Um,
1512.98 1516.79	        	... I don't know how my dad r=eally felt about it,
1516.79 1517.65	        	.. I know=,
1517.65 1519.81	        	.. we come from a long line of military men,
1519.81 1521.87	        	.. so he kind of felt a sense of duty,
1521.87 1522.44	        	... so,
1522.44 1524.55	        	... % ..um,
1524.55 1526.75	MONTOYA: 	... Was there a sense of betrayal?
1526.75 1532.74	CAROLYN: 	... Possibly,
1532.74 1533.03	        	yeah,
1533.03 1533.52	MONTOYA: 	Mhm.
1533.52 1533.81	CAROLYN: 	X
1533.81 1534.20	MONTOYA: 	Okay.
1534.20 1535.54	        	... Who else.
1535.54 1535.91	        	.. Who wants --
1535.91 1537.26	        	Who else wants to share something here,
1537.26 1538.26	        	.. about what we're trying to say.
