0.00 6.52	JAMIE:  	How [can you teach a three-year-old to] ta=p [2dance2].
547.48 548.49	MILES:  	... @@
548.49 549.79	PETE:   	Pretty bad over[bite too=,
549.04 549.84	MILES:  	               [He's in Oba Oba,
549.84 550.14	PETE:   	you know,
550.14 550.39	        	@@]
549.79 550.34	MILES:  	smoking,
550.34 550.89	        	He] [2didn't2] --
550.41 550.76	HAROLD: 	    [2Yeah2].
550.89 550.99	PETE:   	@ (H)
550.99 551.64	MILES:  	Then he tried to --
551.64 554.71	        	He danced with ... a friend of @mi=ne.
554.71 555.86	JAMIE:  	... Yeah=,
555.86 556.46	        	what [happened].
555.81 557.35	MILES:  	     [But she didn't wanna] dance with him anymore,
557.35 557.65	        	<X I X> said,
557.65 558.05	        	.. boy=,
558.05 559.45	        	he just wanted to get close to me.
559.45 559.85	HAROLD: 	.. Oo=.
559.85 561.10	JAMIE:  	Oo[=].
560.02 560.97	PETE:   	  [Mm=].
560.22 560.62	MILES:  	  [I said,
560.62 560.92	        	well],
560.92 561.75	        	can't blame [2him2].
561.28 562.23	HAROLD: 	            [2Oba2] .. Oba.
562.23 563.10	MILES:  	@[@@@]
562.35 563.10	PETE:   	 [m_yeah=].
563.10 563.60	JAMIE:  	Gross.
563.60 565.60	PETE:   	... Mm.
565.60 569.07	MILES:  	... But I'm sure those guys= get a lot of attention from women.
569.07 570.30	        	They travel all over the world.
570.30 572.01	        	.. I'm sure a lot of women throw themselves at em,
572.01 573.61	        	so that's what they expe=ct from women.
573.61 575.88	HAROLD: 	... A lot of groupies.
575.88 576.48	MILES:  	.. Yeah.
576.48 579.71	        	... Fringe benefits.
579.71 580.02	PETE:   	Hm.
580.02 581.35	MILES:  	.. @@@ (H)
581.35 583.61	JAMIE:  	.. The only fringe benefit <X of X> being a dancer,
583.61 584.11	        	probably.
584.11 585.79	HAROLD: 	.. Well [in San] Francisco,
584.70 585.50	MILES:  	        [But then again],
585.79 587.48	HAROLD: 	.. @you never know if it's a benefit or not,
587.48 587.67	        	either.
587.67 588.28	JAMIE:  	That'[s] true.
587.77 588.12	PETE:   	     [@]
588.28 589.68	MILES:  	.. @
589.68 591.44	        	... I didn't know this,
591.44 592.67	        	but apparently in .. Brazil,
592.67 595.02	        	they have a very very high AI=DS infection rate.
595.02 595.34	HAROLD: 	Really?
595.34 595.54	JAMIE:  	Oh.
595.49 595.82	PETE:   	Oh.
595.63 596.42	JAMIE:  	probably [X].
595.96 597.69	MILES:  	         [It's] [2supposed2] to be .. ve=ry high.
596.22 596.47	PETE:   	                [2Mm2].
597.69 599.52	HAROLD: 	... You mean [3like,
599.20 600.30	JAMIE:  	             [3Very unmonitored,
599.52 600.73	HAROLD: 	higher than the United State-3] --
600.30 600.65	JAMIE:  	too3].
600.73 601.90	HAROLD: 	.. Higher than around here?
601.90 603.10	MILES:  	(SNIFF) That's what I've heard.
603.10 603.90	PETE:   	.. Hm.
603.90 605.10	JAMIE:  	.. <P I wouldn't be [surprised P>].
604.35 605.55	HAROLD: 	                    [Have you heard] these figures.
605.55 606.05	        	that like=,
606.05 606.45	        	um,
606.45 609.22	        	... it's something like forty percent of males,
609.22 610.53	        	in .. the Bay Area,
610.53 612.00	        	are supposed [to be infected]?
612.00 612.00	>ENV:   	((MUSIC_STOPS))
610.99 611.47	MILES:  	[Well,
611.47 612.50	        	last Ju][2ly=2],
611.98 612.63	PETE:   	        [2Oh really2]?
612.63 613.38	MILES:  	.. [3this is what3] --
612.70 613.86	JAMIE:  	   [3Of homosex3]ual males,
613.86 614.30	        	or of males.
614.30 614.83	PETE:   	[Of all males].
614.36 615.56	HAROLD: 	[Of males] [2in general2].
614.31 615.95	MILES:  	[This infectious] [2disease2] [3woman,
615.54 617.44	HAROLD: 	                              [3Or males under thirty I think it3] is.
615.95 617.44	MILES:  	at San Francisco General3],
617.44 617.74	PETE:   	Mhm,
617.51 618.48	MILES:  	she said that,
618.48 620.26	        	... this doesn't seem like it can be true,
620.26 621.23	        	but she said that,
621.23 626.93	        	... ninety per cent of gay men,
626.93 628.78	        	... are HIV positive,
628.78 631.59	        	... and fifty percent of a=ll males,
631.59 632.82	        	... are HIV positive.
632.82 633.25	HAROLD: 	[Yeah.
632.82 633.58	MILES:  	[That's what she said].
633.25 633.78	HAROLD: 	.. Fifty perc-] --
633.78 634.38	        	It was some --
634.38 634.66	        	.. Like,
634.66 635.15	        	.. a- m- --
635.15 636.60	        	half or more than half of,
636.60 638.43	        	(H) and it was .. fairly young men,
638.43 639.50	        	... but,
639.50 639.91	        	were,
639.91 641.91	        	had been exposed to HIV virus.
641.91 644.46	        	It wasn't necessarily that they were ... infected.
644.42 645.01	MILES:  	(H) .. Well,
645.01 646.25	        	if you're HIV positive,
646.25 647.64	        	... it's the same difference,
647.64 648.04	HAROLD: 	... [Mhm].
647.64 648.64	MILES:  	    [since they] feel that,
648.64 651.40	        	... sooner or later [2you'll come2] down [3with the3] actual disease.
649.56 650.21	PETE:   	                    [2Mhm2].
650.16 650.88	JAMIE:  	                                         [3Yeah3].
651.40 652.99	MILES:  	... But that's what she sai=d.
652.99 655.28	        	.. Now I [don't] know if she meant the Bay area or San Francisco,
653.13 653.51	JAMIE:  	         [X]
655.28 656.95	MILES:  	(H) but those are some ferocious numbers,
656.95 657.60	        	if [one] [2out of2] &
657.07 657.37	PETE:   	   [Yeah].
656.97 658.14	JAMIE:  	   [That's] [2<X just X>2] horrible.
658.14 659.08	MILES:  	& two guy=s,
659.08 660.01	        	... you meet,
660.01 660.75	HAROLD: 	.. [yeah=],
660.43 660.74	PETE:   	   [@@]
660.75 664.35	MILES:  	cause there're a lot of women out there who .. apparently don't believe in using condoms.
664.35 665.79	PETE:   	... Hm.
665.79 667.35	MILES:  	... I'm just ama=zed.
667.35 668.69	JAMIE:  	[XX dumb mo=ve].
667.35 668.84	HAROLD: 	[See I'd heard that it was main]ly,
668.86 669.64	JAMIE:  	[2Really dumb2].
668.84 670.52	HAROLD: 	[2%in .. %t's mainly2] [3urban3] areas,
669.49 670.03	PETE:   	                       [3Yeah3].
670.52 674.02	HAROLD: 	that had this really ... disproportionately high= .. propor- --
674.02 675.06	        	... um,
675.06 676.33	        	... percentage.
676.33 676.88	        	And then like,
676.88 677.95	        	.. r- rural areas,
677.95 678.18	        	or,
678.18 678.44	        	like,
678.44 678.72	        	you know,
678.72 679.97	        	central Iowa and stuff,
679.97 682.32	        	.. had like ... ten percent or less,
682.32 684.03	        	... of the males,
684.03 684.98	        	.. had been infected.
684.98 688.27	MILES:  	(H) Well I would assume San Francisco is higher than most cities around the [<X country X>],
687.95 688.25	HAROLD: 	                                                                            [Unhunh],
688.27 688.70	PETE:   	[2Mhm2].
688.27 688.74	MILES:  	[2But2],
688.74 690.25	        	... that just blew me away.
690.25 691.30	        	.. Cause I'm thinking well gee,
691.30 693.29	        	if half of all the me=n are HIV positive,
693.29 695.14	        	what does that mean about the women they're having [sex with].
694.61 695.11	PETE:   	                                                   [Right].
695.14 695.94	        	.. Yeah.
695.94 695.94	>ENV:   	((MUSIC_STARTS))
695.94 696.49	HAROLD: 	.. [Well],
696.01 696.46	MILES:  	   [But],
696.49 698.17	        	.. and just talking with [2guy=s2],
697.51 698.01	PETE:   	                         [2X XX2].
698.17 699.49	MILES:  	... in their twenties,
699.49 700.04	        	<WH why WH>,
700.04 701.79	        	... I mean these guy=s,
701.79 704.59	        	... say these women don't care if they use rubbers or not.
704.59 705.94	        	This is what guy=s have been telling me,
705.94 706.79	JAMIE:  	.. (Hx)=
706.79 708.27	MILES:  	... you know,
708.27 708.77	        	and I'm thinking,
708.77 709.82	        	I- I can't believe that,
709.82 710.72	        	cause in this city,
710.72 712.52	        	.. with all the information [available],
711.77 712.52	HAROLD: 	                            [It seems like],
711.79 712.49	PETE:   	                            [Right <X yeah X>] --
712.52 713.19	JAMIE:  	[2Stupid2].
712.85 713.25	HAROLD: 	[2people2],
713.25 715.15	        	people have [3the information they need3].
713.85 714.90	MILES:  	            [3It is just amazing3],
714.90 717.00	        	that people in [4their4] twenties apparently a=ren't.
715.05 715.45	PETE:   	               [4Right4].
717.00 718.76	        	... That's really scary.
718.76 720.81	MILES:  	.. So I guess it's time for me to become a priest.
720.96 721.26	PETE:   	.. @
721.26 722.51	MILES:  	It's too dangerous out [there].
722.03 722.33	HAROLD: 	                       [<X Oh X>,
722.33 722.71	        	I don't] know.
722.71 723.61	MILES:  	I couldn't believe it.
723.61 725.91	        	This ... woman I knew I was gonna ask out?
725.91 726.31	        	.. <BR Go=d BR>.
726.31 727.81	HAROLD: 	You have to be Catholic [first].
727.46 728.46	MILES:  	                        [Her] sister,
728.46 730.14	        	[2who's2] [3an HIV3] counselor,
728.50 729.30	PETE:   	[2@@2] [3@@@3]
728.46 728.75	JAMIE:  	[2(Hx)2]
730.14 734.06	MILES:  	... was telling me how her sister just won't use rubbers.
734.06 735.26	        	... [<HI at] a=ll HI>.
734.38 734.83	JAMIE:  	    [Hm].
735.26 736.61	HAROLD: 	.. Well [2where would she2] put them.
735.33 736.08	MILES:  	        [2and I'm thinking2],
736.61 738.02	PETE:   	... @[3@@@@3]
737.41 737.96	MILES:  	     [3I'm thinking3],
737.41 737.91	JAMIE:  	     [3Well3],
738.01 739.01	MILES:  	how [4can you not4],
738.21 739.41	JAMIE:  	    [4my sisters4] don't,
739.41 742.76	MILES:  	... (Hx) I mean,
742.76 744.46	        	... % what are they thinking.
744.46 745.41	JAMIE:  	.. <P (TSK) I don't know P>.
745.41 748.45	HAROLD: 	... Don't look at me.
748.45 751.45	MILES:  	... % I- I was just really amazed to hear that,
751.45 752.27	        	[people in their twenties],
751.51 752.21	JAMIE:  	[We're innocent].
752.27 752.97	MILES:  	cause I figure,
752.97 754.07	JAMIE:  	.. We don't have [2sex2].
753.44 754.54	MILES:  	                 [2growing2] up around here,
754.54 755.79	        	you [3would3] .. know better.
754.66 755.11	HAROLD: 	    [3@3]
755.79 756.59	MILES:  	.. And in high school,
756.59 756.84	        	you know,
756.84 757.69	        	they teach about it.
757.69 758.34	PETE:   	.. Mhm.
758.34 760.02	MILES:  	... So,
760.02 760.70	JAMIE:  	[I don't know].
760.18 760.78	HAROLD: 	[Not only] that,
760.78 763.63	        	but they have really lewd billboards all over the Castro district.
763.63 763.63	>ENV:   	((OVERHEAD_LIGHT_GOES_ON_BY_ITSELF))
763.63 766.33	JAMIE:  	... Something's (Hx) [<X @wrong X> @@ (H),
765.88 766.28	HAROLD: 	                     [I know,
766.33 768.53	JAMIE:  	(H) I thought we] got our electricity fixed.
766.28 767.23	HAROLD: 	that's kind of scary].
768.53 768.83	JAMIE:  	@@
768.83 770.08	HAROLD: 	I thought I turned this o=ff,
770.08 770.58	        	[<X though,
770.13 770.85	PETE:   	[It's been doing] --
770.48 770.90	HAROLD: 	didn't I X>]?
770.90 771.05	PETE:   	.. Oh,
771.05 771.40	        	that's right,
771.22 771.42	JAMIE:  	[<X But X>] --
771.42 771.72	PETE:   	[you] did.
771.72 772.87	        	[2That's really scary2] then.
771.74 772.49	MILES:  	[2This is salsa,
772.49 772.87	        	right2]?
772.87 773.12	JAMIE:  	Yeah.
773.12 774.80	MILES:  	... What what --
774.80 775.50	        	.. Who is this.
775.50 776.20	JAMIE:  	... I don't know,
776.20 779.25	        	it's from the radio station years ago when I was ... in Santa Cruz.
779.25 783.65	MILES:  	... You know on Sunday=s,
783.65 785.61	        	... at ten o'clo=ck.
785.61 787.57	JAMIE:  	... That's right now.
787.57 788.16	MILES:  	Kay=,
788.16 788.71	        	.. what is that.
788.71 789.53	        	K=ay=,
789.53 791.83	        	... oh I don't know what the radio station [is].
791.45 792.30	JAMIE:  	                                           [They] play Salsa?
792.30 793.90	HAROLD: 	It [2begins with a kay though2].
792.80 793.00	MILES:  	   [2No,
793.00 793.73	        	they played th=is2] --
793.90 794.61	PETE:   	[3@@@@@3]
793.75 795.40	MILES:  	[3They have a Brazilian3] ja=zz hour.
795.40 796.90	        	Is there a KKSF?
796.90 798.40	        	... (H) I don't know what it was.
798.40 800.15	        	(H) But it was like I went [to] Bahia,
799.32 799.82	JAMIE:  	                           [What's] --
800.15 801.45	MILES:  	... last Sunday,
801.45 803.77	        	(H) ... got there at eight,
803.77 805.12	        	(Hx) .. left a te=n,
805.12 806.72	        	... dropped this person off at home,
806.72 807.27	        	in Foster City,
807.27 807.92	        	and came back,
807.92 809.22	        	(H) and I X- was noticing,
809.22 810.57	        	.. the songs they were playing on the radio,
810.57 813.02	        	were the exact same so=ngs they were singing at Bahia,
813.02 814.12	        	the- b- live band there.
814.12 816.23	JAMIE:  	... Hm,
816.23 817.78	        	.. should I turn on the radio statio- --
817.78 819.13	        	You [don't know what station] it was on?
817.98 818.68	MILES:  	    [I- I was] --
819.13 821.06	        	... <P KKSF,
821.06 822.16	        	.. does that mean anything to you P>?
822.16 822.86	HAROLD: 	... Nope.
822.86 825.01	        	... You have to translate it to [a number].
824.33 825.23	MILES:  	                                [I was in a rental] car,
825.23 826.88	        	so it was just whatever station it was [2@on2].
826.60 827.10	JAMIE:  	                                       [2Mm2].
826.88 827.38	MILES:  	... (H)
827.38 827.58	PETE:   	Hm.
827.58 828.08	MILES:  	But uh,
828.08 829.73	        	(H) I was just remembering being surpri=sed,
829.73 830.08	        	cause,
830.08 831.28	        	(H) I didn't realize,
831.28 832.73	        	.. I don't know anything about Brazilian music.
832.73 834.08	        	You go to the- .. Brazilian club,
834.08 835.48	        	and they're singing .. songs,
835.48 838.33	        	(H) ... apparently I guess that's the popular stuff.
838.33 839.08	        	.. I guess.
839.08 840.58	        	... I'm so used to hearing those songs,
840.58 841.96	        	cause I've heard em for the past three months,
841.96 842.76	        	.. I didn't think anything of it,
842.76 843.16	        	but then,
843.16 845.11	        	(H) this guy played songs for a whole hour,
845.11 845.76	        	and it was like,
845.76 847.46	        	(H) eighty per cent of those songs I'd --
847.46 849.46	        	.. that band had sung that very ni=ght.
849.46 850.36	JAMIE:  	... Mhm.
850.36 851.44	        	... (SNIFF)
851.44 853.45	        	... Pickup band's pretty good there.
853.45 854.67	        	... Vi[va] --
854.46 856.16	MILES:  	      [Well] they have a different band [2every night2].
855.61 856.06	JAMIE:  	                                        [2Who was it2],
856.16 856.86	        	Viva Brazil?
856.86 857.01	        	.. Oh,
857.01 857.81	        	I went [on the-],
857.31 857.66	MILES:  	       [X].
857.81 858.76	JAMIE:  	... Friday night,
858.76 859.86	        	so maybe it was different band.
859.86 860.76	MILES:  	Um when did you do [that]?
860.31 860.96	JAMIE:  	                   [(SNIFF)]
860.96 861.46	        	... Oh,
861.46 862.16	        	a while ago.
862.16 864.91	        	... The dance floor's too small in that place though.
864.91 865.91	        	.. It's really annoying.
865.91 869.93	        	... <P<% I like this song %>P>.
869.93 875.47	MILES:  	... (H) Are they ... teaching ... any more lambada,
875.47 877.13	        	... at= uh --
877.13 878.86	JAMIE:  	... school?
878.86 879.36	MILES:  	.. Yeah.
879.36 883.09	HAROLD: 	... !Vivian was giving [a lambada] lesson,
882.02 882.69	MILES:  	                       [Cause uh=],
883.09 884.34	HAROLD: 	when I was there [2<X the other day X>2].
883.46 883.71	MILES:  	                 [2well,
883.71 885.59	        	my lambada's2] [3definitely3] getting better.
884.34 884.65	JAMIE:  	               [3Really3]?
885.59 886.09	        	... Really?
886.09 887.84	        	I wanna go out lambada dancing with you.
887.84 890.51	        	... [XX] --
890.12 892.02	MILES:  	    [I mean] I'm gonna start dancing with those Brazilian women.
892.02 894.12	        	... So I can learn how to beat my hips,
894.12 894.62	        	I @mean,
894.62 896.82	        	(H) cause their .. their hips are <<SLAPPING beating up against you,
896.82 897.57	        	... you know,
897.57 898.67	        	like that fa=st SLAPPING>>.
898.67 898.97	        	X --
898.97 900.42	        	(H) Hundred cycles per second,
900.42 900.82	        	or something?
900.82 902.48	JAMIE:  	[(H) @ @@][2@(H)2]
900.82 904.27	PETE:   	[@@@@@] [2@@2] [3@ @ @ @(H)3]
902.49 902.69	MILES:  	          [2I mean,
902.69 903.58	        	I am2] [3not kidding.
903.58 903.78	        	.. It --
903.78 905.73	        	It is3] a different [4sensation4] entirely.
904.55 905.00	JAMIE:  	                    [4(H)4]
905.73 906.38	PETE:   	@@@@@
906.38 907.45	MILES:  	[When you're dancing] with the=m.
906.51 906.91	HAROLD: 	[I bet].
907.45 908.30	PETE:   	@ [2@ @(H)2]
907.37 908.02	MILES:  	  [2And the- --
908.02 910.15	        	% only way2] to learn how is to dance with them mo[3=re.
909.88 910.47	JAMIE:  	                                                  [3That's true3].
910.15 912.12	MILES:  	But I3] feel like I can start dancing with them now.
912.12 914.35	        	... But uh,
914.35 915.84	JAMIE:  	... No th- --
915.84 916.19	        	I don't --
916.19 916.69	        	.. I don't --
916.69 918.09	        	... They haven't done anything recently,
918.09 918.59	        	(H) I,
918.59 919.79	        	I can't remember if they're going to.
919.79 920.14	MILES:  	Cause,
920.14 920.29	        	.. like,
920.29 922.39	        	!Sue !Swing taught that class for two mo=nths,
922.39 923.89	        	... May and Ju=ne,
923.89 925.37	        	... and uh,
925.37 926.84	JAMIE:  	Is she a good .. lambada dancer?
926.84 928.07	        	I can't imagine her being a --
928.07 930.08	MILES:  	... Yeah but,
930.08 931.88	        	I didn't feel like she taught it any different --
931.88 934.53	        	... significantly differently than when !Vivian and !Jeff taught it.
934.58 935.53	        	... I mean,
935.53 936.43	        	.. cause they [do it] &
935.83 936.43	JAMIE:  	              [real basic],
936.38 937.43	        	.. and [2real simple2].
936.83 937.43	MILES:  	& [2d=ifferent2],
937.43 938.63	        	.. than Brazilians do it.
938.63 939.13	JAMIE:  	Yeah.
939.13 940.18	MILES:  	... I mean,
940.18 942.18	        	.. I don't know what those Brazilian women are doing,
942.18 942.93	JAMIE:  	.. What are they do=[ing,
942.75 944.27	MILES:  	                    [but their hi=ps are like],
942.93 943.53	JAMIE:  	Are they going --
943.53 944.32	        	are they going like],
944.57 945.52	        	(H) really fa=st?
945.52 946.87	        	.. I mean are they going [one two three,
945.69 946.24	MILES:  	                         [I mean,
946.87 947.42	JAMIE:  	one two three],
946.24 949.27	MILES:  	first you had this] wi=de sw=ay of their hips this way,
949.27 950.27	        	... and the=n,
950.27 951.12	        	... it's like,
951.12 952.37	        	... <<SLAPPING they're .. coming%,
952.37 952.72	        	.. I mean,
952.72 953.97	        	they're beating me like <HI this SLAPPING>>.
953.97 955.62	        	... I don't even know how you can do that.
955.62 956.42	        	.. You're dancing with them,
956.42 957.62	        	<<SLAPPING they're beating you just like this HI>.
957.62 958.44	        	... SLAPPING>>
958.44 959.79	HAROLD: 	Using their hands like that?
959.79 960.29	PETE:   	... @@@
960.29 961.17	JAMIE:  	@@@[@@]
960.80 961.12	MILES:  	   [No,
961.12 963.12	        	using] thei=r .. pelvic bones.
963.12 963.42	HAROLD: 	[2Wo=w2].
963.14 963.39	PETE:   	[2Mm=2].
963.39 963.89	JAMIE:  	Right here?
963.89 965.21	MILES:  	... [Yeah].
964.60 966.35	PETE:   	    [Sort of like] Tahitian dancers or some[2thing.
965.97 966.58	HAROLD: 	                                           [2Yeah=2].
966.35 966.58	PETE:   	<X You know X>2],
966.58 966.88	        	close.
966.88 967.88	MILES:  	But I tell [you],
967.38 967.83	PETE:   	           [@@]
967.88 968.63	MILES:  	.. but anyway,
968.63 968.88	        	you know,
968.88 969.88	        	they weren't teaching it that way,
969.88 970.38	HAROLD: 	[X X=].
969.98 970.33	MILES:  	[You know,
970.33 971.93	        	the ballroom] people [2don't do it that way2].
971.03 971.73	PETE:   	                     [2XX XX2]
971.93 973.03	MILES:  	.. But [3that's what I want to learn3].
971.98 972.31	JAMIE:  	       [3Don't- --
972.31 972.98	        	Don't they teach3],
972.98 973.90	        	(H) don't they teach you to go,
973.90 974.68	        	one two three=,
974.68 975.23	        	one two three=,
975.23 975.82	        	.. one two three=,
975.82 976.39	        	like that?
976.39 979.04	        	... (H) Or do they go like really fast like that.
979.04 979.82	MILES:  	Well !Sue !Swing,
979.82 981.36	        	I mean when she was teaching was definitely more sedate,
981.36 982.59	        	and the same thing with [!Jeff] and !Vivian.
981.88 982.12	JAMIE:  	                        [!Viv-],
982.59 982.87	        	[2Yeah.
982.72 983.72	MILES:  	[2It was just !Jeff and2] --
982.87 983.20	JAMIE:  	.. sure,
983.20 984.15	        	but that's cause it's2] for s- --
984.15 985.75	        	it's for people who can't move their hips.
985.75 989.26	        	... Right?
989.26 990.14	        	I mean it's for basic,
990.14 990.51	        	.. you know,
990.51 991.93	        	this is a beginning lambada class,
991.93 993.73	        	or intermediate [XXXXX],
992.58 994.04	MILES:  	                [I don't know why they did it] that way.
994.04 994.34	        	I mean,
994.34 996.09	        	.. it seems to me if <X they're gonna teach it like what you do X>,
996.09 997.17	        	... %
997.17 998.46	JAMIE:  	... Or what they teach,
998.46 999.45	        	and what happens socially,
999.45 1000.68	        	could be two different things.
1000.68 1001.23	        	.. You know,
1001.23 1001.85	MILES:  	... I mean,
1001.85 1002.88	        	Brazilians definitely don't,
1002.88 1003.34	        	... hm,
1003.34 1004.39	        	do it like @that @.
1004.39 1005.23	JAMIE:  	... I should --
1005.23 1005.76	        	I want to go.
1005.76 1006.78	        	I should check it out.
1006.78 1007.36	        	.. I like that,
1007.36 1008.06	        	cause it's fun.
1008.06 1009.31	        	... <P X [X P>] --
1008.83 1009.88	MILES:  	         [I mean] after I f- --
1009.88 1012.68	        	... I [2mean <X I X>2] --
1012.43 1012.75	JAMIE:  	      [2<X Are you X>2] --
1012.75 1014.53	        	Do they still teach at Bahia on Sunday?
1014.53 1015.02	        	.. night?
1015.02 1015.49	MILES:  	Oh yeah.
1015.49 1017.54	        	... (SNIFF) In fact I would have gone today,
1017.54 1018.64	        	if it wasn't for my back.
1018.64 1018.99	JAMIE:  	(Hx)
1018.99 1023.49	MILES:  	... Well I finally found some people there I can da=nce with.
1023.49 1024.04	        	.. So that helps.
1024.04 1024.89	JAMIE:  	Do you need a partner?
1024.89 1026.70	MILES:  	... To go there?
1026.70 1027.14	JAMIE:  	.. Yeah.
1027.14 1027.59	MILES:  	.. No.
1027.59 1029.75	        	... Besides,
1029.75 1030.06	        	you,
1030.06 1031.74	        	... @
1031.74 1032.82	        	@I @mean if you're a guy,
1032.82 1033.06	        	.. If --
1033.06 1034.03	        	.. If you're a woman,
1034.03 1034.25	        	I mean,
1034.25 1035.58	        	those guys'll be all over you.
1035.58 1037.63	        	... [<X I swear it X>].
1036.75 1037.67	JAMIE:  	    [@@@][2@2]
1037.66 1038.11	PETE:   	         [2@2][3@3]
1038.00 1038.69	JAMIE:  	              [3Don't3] [4say that,
1037.84 1038.68	HAROLD: 	              [3Run3] [4along now,
1038.69 1039.50	JAMIE:  	~Harold's in the room4].
1038.68 1039.10	HAROLD: 	dear4],
1039.50 1040.79	JAMIE:  	(H) [5@@@5]
1039.80 1040.79	PETE:   	    [5@@@@5]
1040.79 1042.92	JAMIE:  	(H) (SNIFF) .. You could [6come too6].
1042.23 1044.79	MILES:  	                         [6(H) Well I don't6] necess=arily ... mea=n,
1044.79 1046.05	        	.. % .. in a bad way,
1046.05 1047.47	        	even though I'm sure there are a few there,
1047.47 1049.16	        	% % I'm not dancing with guys.
1049.16 1050.23	        	.. All I can say is,
1050.23 1051.48	        	the women aren't all over me.
1051.48 1052.47	        	... Da[=rn],
1052.10 1052.65	HAROLD: 	      [Oo]=.
1052.65 1053.15	MILES:  	(H) But,
1053.15 1053.30	        	@
1053.30 1054.41	JAMIE:  	[@= @@]
1053.39 1055.11	PETE:   	[@@@@]@ (H)
1055.11 1055.75	JAMIE:  	(H)
1055.75 1056.44	MILES:  	but I remember,
1056.44 1057.99	        	like I went there with this person,
1057.99 1060.42	        	... (H) @
1060.42 1061.72	        	.. (H) <@ it's kind of funny @>.
1061.72 1063.11	        	th- this person did not want to dance.
1063.11 1064.52	        	... So she's just gonna watch.
1064.52 1064.93	        	So,
1064.93 1066.73	        	(H) every once in a while I'd get up and dance,
1066.73 1069.46	        	... and it's like,
1069.46 1070.80	        	... when I'd come ba=ck,
1070.80 1071.81	        	I mean there was some guy there,
1071.81 1072.76	        	sitting in my chair.
1072.76 1074.20	JAMIE:  	... @@@
1074.20 1075.28	MILES:  	Every time I got up.
1075.28 1075.63	        	I'm thinking,
1075.63 1075.91	        	Go=d,
1075.91 1077.25	        	these guys don't waste any ti=me.
1077.25 1077.46	        	I mean,
1077.46 1078.18	        	you turn your back,
1078.18 1079.47	        	and there's somebody moving in.
1079.47 1081.92	JAMIE:  	... (H) (Hx) @@
1081.92 1083.72	MILES:  	[<X I mean I don't know if they X> X X].
1082.52 1084.37	JAMIE:  	[(H) Maybe ~Harold you should] come with me.
1084.37 1085.92	HAROLD: 	... Why.
1085.92 1086.97	        	... So I can find --
1086.97 1088.67	JAMIE:  	.. learn some [lam- ..] lambada.
1087.87 1088.17	PETE:   	              [@@]
1088.67 1090.92	HAROLD: 	.. find some girls with empty chairs next to em?
1090.92 1091.55	JAMIE:  	[@(H)]
1090.97 1091.51	MILES:  	[@(H)]
1091.55 1092.98	PETE:   	@@@@@@
1092.98 1095.99	HAROLD: 	... Maybe I should go with ~Miles.
1095.99 1096.51	MILES:  	.. Oh did- % --
1096.51 1097.29	PETE:   	[@@@]
1096.62 1097.02	JAMIE:  	[Yeah,
1097.02 1098.19	        	you guys] [2could2] be partners.
1097.40 1097.60	MILES:  	          [2did-2] --
1098.19 1099.15	JAMIE:  	... What?
1099.15 1100.13	MILES:  	Well I don't know if I told you,
1100.13 1101.93	        	%= .. told you that story about that woman,
1101.93 1102.79	        	... who uh,
1102.79 1103.82	        	went after that guy there?
1103.82 1104.64	        	I told you that story,
1104.64 1104.94	        	right?
1104.94 1107.49	        	... I was there Sunday three .. four weeks ago?
1107.49 1108.65	        	... Uh=,
1108.65 1110.07	        	after the class is over w- --
1110.07 1110.82	        	.. over with,
1110.82 1112.43	        	... I'm sitting down at a table,
1112.43 1113.29	        	there's a woman from --
1113.29 1114.01	        	.. who was in the class,
1114.01 1114.57	        	and two men,
1114.57 1116.20	        	... sitting to my right,
1116.20 1117.76	        	.. is a table with two women there.
1117.76 1119.86	        	.. They had apparently just come from Oba Oba.
1119.86 1121.60	        	... on the la=st [night],
1121.06 1121.84	JAMIE:  	                 [<X<P Oh I think you] told me X>.
1121.84 1122.54	MILES:  	the last night,
1122.54 1123.01	JAMIE:  	Yeah P>.
1123.01 1124.14	MILES:  	... And like,
1124.14 1125.05	        	<X well X> they were attractive women,
1125.05 1126.77	        	the one had on a real real short skirt.
1126.77 1127.40	        	(H) Anyway,
1127.40 1128.94	        	there was this guy in his fifties,
1128.94 1129.96	        	.. out there dancing,
1129.96 1132.33	        	... <BR by himself BR>.
1132.33 1134.55	        	... And the woman was just looking at him,
1134.55 1135.12	        	making eyes,
1135.12 1136.01	        	then she went out there,
1136.01 1137.20	        	got on her knee=s.
1137.20 1138.32	        	... in front of him.
1138.32 1140.22	        	... in this skirt that's this short,
1140.22 1141.65	        	... (H) takes her hands,
1141.65 1143.05	        	.. and goes along his toes,
1143.05 1143.51	        	and then up,
1143.51 1145.26	        	and is just .. d=oing like that.
1145.26 1145.91	        	.. I figured,
1145.92 1146.95	JAMIE:  	[Oo=].
1145.91 1146.12	MILES:  	[oh,
1146.12 1147.35	        	they must know each] other.
1147.35 1149.19	JAMIE:  	... Oo=.
1149.19 1150.04	HAROLD: 	.. very well,
1150.04 1150.49	        	<@ in fact @>.
1150.49 1150.94	PETE:   	Mhm.
1150.94 1152.53	JAMIE:  	... [Gro=ss].
1151.93 1153.08	MILES:  	    [That's what I] assu=med.
1153.08 1155.07	        	... And,
1155.07 1156.52	        	.. they did that for the whole dance,
1156.52 1156.75	        	and I mean,
