0.00 13.16	NATHAN: 	... (H) Am I doing that right so far?
1203.16 1210.04	NATHAN: 	... <P O=kay= ... (SWALLOW) P>.
1210.04 1214.31	KATHY:  	... And [all that] --
1214.05 1217.27	NATHAN: 	        [See that] just proves that she puts problems on there that we've never go=ne over.
1217.27 1219.92	        	... I know we've never done one like that.
1219.92 1221.12	        	.. where you do that,
1221.12 1237.98	        	... (H) Can you --
1237.98 1239.58	        	Do you wanna do that when it's less than,
1239.58 1241.28	        	or can you do that when it's greater than too.
1241.28 1241.78	KATHY:  	... Yeah.
1241.78 1242.53	        	... Th- --
1242.53 1243.18	        	Either way.
1243.18 1244.28	NATHAN: 	... So if it's pointed this way,
1244.28 1246.23	        	you just put another one pointing this way over here,
1246.23 1247.03	KATHY:  	... Right.
1247.03 1247.93	NATHAN: 	... Okay.
1247.93 1252.59	KATHY:  	... <WH Where'd you get that one WH>.
1252.59 1253.59	        	... @@
1253.59 1256.04	        	.. (Hx) (H) [<@ That's a big one @>] (Hx) (H).
1254.64 1255.49	NATHAN: 	            [(Hx)=]
1256.04 1257.09	        	.. You're not kidding X.
1257.09 1258.09	KATHY:  	That's my thumbnail.
1258.09 1276.75	NATHAN: 	... (SIGH)
1276.75 1277.50	        	... (SNIFF)
1277.50 1279.66	KATHY:  	... (SWALLOW)
1279.66 1283.44	NATHAN: 	... (YAWN)
1283.44 1286.94	        	(H) ... Now I just get a common denominator for the whole= thi=ng?
1286.94 1287.82	KATHY:  	... Mhm.
1287.82 1288.57	        	... Well,
1288.57 1290.64	        	take out those .. absolute value things,
1290.64 1291.54	        	they'll screw you up.
1291.54 1291.97	NATHAN: 	%Yeah.
1291.97 1295.96	        	... And now this'll be six,
1295.96 1296.32	        	right?
1296.32 1299.08	        	... (SWALLOW) (Hx)
1299.08 1311.36	        	... Is that right?
1311.36 1313.07	KATHY:  	... Mhm.
1313.07 1318.64	NATHAN: 	... Now what do you do.
1318.64 1319.79	KATHY:  	... Subtract three=.
1319.79 1320.64	        	.. from the middle.
1320.64 1321.39	NATHAN: 	... And y- --
1321.39 1323.04	        	... To which side.
1323.04 1323.87	KATHY:  	.. To both sides.
1323.87 1324.77	NATHAN: 	.. To both sides?
1324.77 1326.19	        	... Okay.
1326.19 1328.22	KATHY:  	... (THROAT)
1328.22 1331.83	NATHAN: 	... <P Negative XX P>,
1331.83 1337.71	KATHY:  	... two ex.
1337.71 1338.96	NATHAN: 	... Alright.
1338.96 1341.67	        	... (H) <P To one,
1341.67 1342.10	        	then,
1342.10 1344.96	        	after that you have to= P>,
1344.96 1346.04	        	take out the negatives.
1346.04 1347.04	KATHY:  	... Yeah.
1347.04 1347.59	        	Divide by --
1347.59 1348.09	        	Well just ta- --
1348.09 1349.24	        	Divide by negative two.
1349.24 1351.19	NATHAN: 	... Oh=,
1351.19 1351.99	        	[you can't] get that by,
1351.24 1351.49	KATHY:  	[XX]
1351.99 1352.94	NATHAN: 	ex by itself?
1352.94 1353.68	KATHY:  	... Yeah.
1353.68 1354.25	NATHAN:  	(H)
1354.25 1356.69	KATHY:  	... And when you divide by a ne[gative],
1356.16 1356.76	NATHAN: 	                               [(Hx)]
1356.69 1358.05	KATHY:  	.. [2you have to flip the signs2].
1356.86 1357.66	NATHAN: 	   [2(TSK) Yeah=2].
1358.05 1359.59	        	(H) .. Okay.
1359.59 1375.62	KATHY:  	... And when you do that,
1375.62 1376.77	        	.. it's gonna be a o=r.
1376.77 1378.72	        	... (H) Because if you look at it,
1378.72 1379.52	        	... cause,
1379.52 1379.72	        	you know,
1379.72 1382.30	        	it can't be greater ... than seven-halves,
1382.30 1384.72	        	... and less than negative halve at the sa-,
1384.72 1386.07	        	one-half at the same time.
1386.07 1388.47	        	... So it's gonna be either ex,
1388.47 1391.02	        	.. is less than or equal to negative ... one-half,
1391.02 1392.22	        	.. (H) or,
1392.22 1395.40	NATHAN: 	... Okay.
1395.40 1400.22	KATHY:  	... (SNIFF) .. (SWALLOW)
1400.22 1403.86	NATHAN: 	... (Hx)=
1403.86 1409.62	        	... <P Will you pass me some of that tea please.
1409.62 1411.91	        	(H) ... Oh=,
1411.91 1412.46	        	thank you.
1412.46 1417.31	        	... (DRINK) (Hx) (DRINK) (Hx)
1417.31 1420.22	        	... (H) Number te=n.
1420.22 1421.84	        	How many problems are on this test P>.
1421.84 1426.20	KATHY:  	... Twelve.
1426.20 1427.30	NATHAN: 	... Oh good.
1427.30 1430.15	KATHY:  	... What did you want to do after this test.
1430.15 1431.20	NATHAN: 	... That's it,
1431.20 1432.05	        	.. I guess.
1432.05 1434.37	KATHY:  	... You gonna study some more tomorrow then,
1434.37 1434.75	        	right?
1434.75 1436.57	NATHAN: 	... Oh definitely.
1436.57 1437.52	KATHY:  	... Okay.
1437.52 1438.97	        	... Ex plus four,
1438.97 1442.74	        	... over,
1442.74 1444.19	        	... three ex minus two,
1444.19 1446.79	        	... is less than zero.
1446.79 1450.85	NATHAN: 	... <WH Is WH> less than zero.
1450.85 1451.65	KATHY:  	... Right.
1451.65 1456.98	NATHAN: 	... (H) (SIGH)
1456.98 1462.96	        	... <WH Go=sh WH>.
1462.96 1468.81	        	... Is this the c- --
1468.81 1471.06	        	Is this the same class I'm taking ~Kathy.
1471.06 1474.01	        	... Are you sure we're doing work from the same class that I'm --
1474.01 1474.41	        	that I'm --
1474.41 1475.61	        	that I go to every [night].
1475.36 1476.01	KATHY:  	                   [I] don't know.
1476.01 1478.31	        	@@@ (H) @ (H) Are we?
1478.31 1481.80	        	(H) ... It's got the same name,
1481.80 1482.00	        	but,
1482.00 1483.30	        	... that's about it.
1483.30 1484.51	        	... Okay.
1484.51 1486.71	NATHAN: 	... I don't even know how you start this one,
1486.71 1487.11	        	do you?
1487.11 1488.69	KATHY:  	... Yeah I think so,
1488.69 1489.51	        	but I'm not sure.
1489.51 1490.06	        	.. Cause,
1490.06 1490.91	        	.. the way I start it,
1490.91 1491.48	NATHAN: 	... Do I --
1491.48 1493.04	        	Did I have anything written on the test?
1493.04 1493.46	KATHY:  	M-m.
1493.46 1495.05	NATHAN: 	... I left it blank?
